estimator,theta1,se1,robust_se1,theta2,se2,robust_se2,first_stage_F,partial_r2,abs_diff_from_pooled,what_leaves_site
concatenated 2SLS,0.3182018130459202,0.014762351326814948,,,,,,,,individual rows
FedMR,0.3182018130459203,0.01476235132681495,0.014937663027222478,,,,28.660417994222144,0.0944266556550661,1.1102230246251565e-16,"Z'Z, Z'W, Z'Y, W'W, W'Y, Y'Y, n (+ H for robust SE)"
FedMR-CF (5 folds),0.31445848812828975,0.015399263076743698,0.015575370934340667,,,,5245.24867597457,0.08681850977054162,,"per-fold first-stage moments, then the same statistics"
site 2SLS meta-analysis,0.31804238600013024,0.014747106194710534,,,,,,,0.0001594270457899727,one estimate and SE per site
per-SNP sumstats IVW,0.31832791179562914,0.01557428358640427,,,,,,,0.00012609874970892498,"per-SNP beta_x, beta_y, SEs"
naive OLS (no instruments),0.38845979176963413,,,,,,,,,""
concatenated quadratic 2SLS,0.3169635293243077,0.014465102483758499,,0.14851304929760703,0.031386055882641914,,,,,individual rows
FedMR quadratic,0.31696352932430766,0.014465102483758483,0.014505739797436428,0.14851304929760803,0.031386055882640596,0.03202057000460975,2877.5376456993095,0.0944615212024386,9.992007221626409e-16,"the same statistics with W = [X, X^2, site], Z = [xhat, xhat^2, site]"
FedMR-CF quadratic (5 folds),0.31318663894321236,0.015088647415237204,0.01513326903638638,0.1546953645953044,0.033689073210358425,0.03432710726305746,,,,""
site quadratic 2SLS meta-analysis,0.31786271229269675,0.014622161664792814,,0.15617694406052351,0.031278363409712566,,,,0.007663894762916484,two coefficients and a 2x2 covariance per site
