estimator,theta1,se1,robust_se1,theta2,se2,robust_se2,first_stage_F,partial_r2,abs_diff_from_pooled,what_leaves_site
concatenated 2SLS,0.22414269552420807,0.01450142913144589,,,,,,,,individual rows
FedMR,0.2241426955242081,0.014501429131445889,0.014543182797341545,,,,28.660417994222147,0.09442665565506611,2.7755575615628914e-17,"Z'Z, Z'W, Z'Y, W'W, W'Y, Y'Y, n (+ H for robust SE)"
FedMR-CF (5 folds),0.22041136351421045,0.015127450097154563,0.015173630722423488,,,,5245.248675974571,0.08681850977054162,,"per-fold first-stage moments, then the same statistics"
site 2SLS meta-analysis,0.22364053467777265,0.014491634684538613,,,,,,,0.0005021608464354232,one estimate and SE per site
per-SNP sumstats IVW,0.22380597249095607,0.014940639749748694,,,,,,,0.0003367230332519955,"per-SNP beta_x, beta_y, SEs"
naive OLS (no instruments),0.29922066331255487,,,,,,,,,""
concatenated quadratic 2SLS,0.2245815269925964,0.01447501385246335,,-0.05263107183003947,0.03140756134880657,,,,,individual rows
FedMR quadratic,0.2245815269925966,0.014475013852463331,0.014508838710444512,-0.05263107183003962,0.03140756134880605,0.03201659084240281,2877.53764569931,0.09446152120243861,1.942890293094024e-16,"the same statistics with W = [X, X^2, site], Z = [xhat, xhat^2, site]"
FedMR-CF quadratic (5 folds),0.22079129974907014,0.01509921702915175,0.01513652015230643,-0.046211748267146205,0.03371267244276003,0.034323640457254195,,,,""
site quadratic 2SLS meta-analysis,0.22541335698662007,0.014633693517748528,,-0.0450634434635573,0.03130659997126943,,,,0.007567628366482171,two coefficients and a 2x2 covariance per site
