site,n,avg_slope,ivw,ivw_se,naive_ols,mean_F
site01,1426,0.3,0.32125311130963863,0.08464108579111253,0.43976008369281644,9.136689579992005
site02,2361,0.3,0.24198505499410167,0.07125638869400135,0.4281671186280432,12.972426609445222
site03,3480,0.3,0.4011447750751107,0.0708273329593833,0.44232003363618627,13.830863587818419
site04,4556,0.3,0.34319404325533387,0.05523174104270458,0.4074252274257169,20.999115115960393
site05,4631,0.3,0.3755409519123842,0.06216321193685414,0.44577221097326186,16.403133091411256
site06,5629,0.3,0.26127917594068234,0.07471777143672696,0.3887750894559099,12.215892432478999
site07,7141,0.3,0.3323713028935839,0.03508633649816214,0.3840222188275782,48.72818439415588
site08,8154,0.3,0.30898210577796315,0.028632288166738948,0.39870722379768914,79.06965190466401
site09,8424,0.3,0.3940597192166621,0.0593992180940573,0.34588792805614954,17.297896540205066
site10,9380,0.3,0.25307255887130636,0.03904490181707355,0.36373077311356933,36.80312016767169
