site_id,n,h2_x,events,gamma_x,gamma_y,avg_slope,seed
site01,428,0.10468729492112656,24,0.3317375687039112,0.3526748968918955,0.3,2
site02,708,0.09838442326519006,27,0.4261315055588188,0.31900176507131445,0.3,3
site03,1044,0.07871948779460887,47,0.31133944118807677,0.4229701172846621,0.3,4
site04,1367,0.08406833443747927,51,0.3094559417173546,0.2778342732570383,0.3,5
site05,1389,0.07001665397419235,43,0.3888089603561984,0.32869869023456955,0.3,6
site06,1689,0.032307498700433056,71,0.2172345979329675,0.4296615084094029,0.3,7
site07,2143,0.12224879830961197,93,0.3331942488519908,0.27562878990312223,0.3,8
site08,2447,0.18675729075487063,114,0.307260270031282,0.36681581930468377,0.3,9
site09,2527,0.03531466565804137,113,0.18924179916560896,0.2964546170823844,0.3,10
site10,2814,0.07640064107268493,128,0.38745438353445893,0.14638597145378068,0.3,11
