site,round,x,f
site01,0,-3.0,-0.178542673587799
site01,0,-2.900000095367432,-0.1772932708263397
site01,0,-2.799999952316284,-0.1751691997051239
site01,0,-2.700000047683716,-0.1727710962295532
site01,0,-2.5999999046325684,-0.1703729033470153
site01,0,-2.5,-0.1679747849702835
site01,0,-2.400000095367432,-0.1659709215164184
site01,0,-2.299999952316284,-0.1649070978164672
site01,0,-2.200000047683716,-0.1640925705432891
site01,0,-2.0999999046325684,-0.1628439724445343
site01,0,-2.0,-0.1615954339504242
site01,0,-1.899999976158142,-0.1601620018482208
site01,0,-1.7999999523162842,-0.1587183177471161
site01,0,-1.7000000476837158,-0.1572746783494949
site01,0,-1.600000023841858,-0.1558310091495514
site01,0,-1.5,-0.1528281569480896
site01,0,-1.399999976158142,-0.1484668850898742
site01,0,-1.2999999523162842,-0.1441055983304977
site01,0,-1.2000000476837158,-0.1393165290355682
site01,0,-1.100000023841858,-0.1358225345611572
site01,0,-1.0,-0.1323285400867462
site01,0,-0.8999999761581421,-0.1285469233989715
site01,0,-0.800000011920929,-0.1227200627326965
site01,0,-0.699999988079071,-0.1163270622491836
site01,0,-0.6000000238418579,-0.1118539273738861
site01,0,-0.5,-0.1067977175116539
site01,0,-0.4000000059604645,-0.1003156751394271
site01,0,-0.3000000119209289,-0.0941938683390617
site01,0,-0.2000000029802322,-0.0888953581452369
site01,0,-0.1000000014901161,-0.0823973044753074
site01,0,0.0,-0.0795894786715507
site01,0,0.1000000014901161,-0.0775767192244529
site01,0,0.2000000029802322,-0.074115939438343
site01,0,0.3000000119209289,-0.0714352577924728
site01,0,0.4000000059604645,-0.0673238635063171
site01,0,0.5,-0.0655954778194427
site01,0,0.6000000238418579,-0.0600739121437072
site01,0,0.699999988079071,-0.0552139207720756
site01,0,0.800000011920929,-0.0503538995981216
site01,0,0.8999999761581421,-0.0454938784241676
site01,0,1.0,-0.0420515090227127
site01,0,1.100000023841858,-0.0414679609239101
site01,0,1.2000000476837158,-0.0398366823792457
site01,0,1.2999999523162842,-0.0359772369265556
site01,0,1.399999976158142,-0.0311986804008483
site01,0,1.5,-0.0261587500572204
site01,0,1.600000023841858,-0.0224875509738922
site01,0,1.7000000476837158,-0.0192953497171401
site01,0,1.7999999523162842,-0.0161031410098075
site01,0,1.899999976158142,-0.0129109174013137
site01,0,2.0,-0.0097187012434005
site01,0,2.0999999046325684,-0.0065265521407127
site01,0,2.200000047683716,-0.0033343061804771
site01,0,2.299999952316284,-0.0001421198248863
site01,0,2.400000095367432,0.003050148487091
site01,0,2.5,0.0062423422932624
site01,0,2.5999999046325684,0.0085676610469818
site01,0,2.700000047683716,0.0107119902968406
site01,0,2.799999952316284,0.0128562375903129
site01,0,2.900000095367432,0.0150005295872688
site01,0,3.0,0.0171448215842247
site01,1,-3.0,-1.736101150512695
site01,1,-2.900000095367432,-1.6996418237686155
site01,1,-2.799999952316284,-1.6628669500350952
site01,1,-2.700000047683716,-1.6259928941726685
site01,1,-2.5999999046325684,-1.5891191959381104
site01,1,-2.5,-1.5522454977035522
site01,1,-2.400000095367432,-1.5153714418411257
site01,1,-2.299999952316284,-1.4780750274658203
site01,1,-2.200000047683716,-1.4407007694244385
site01,1,-2.0999999046325684,-1.403326392173767
site01,1,-2.0,-1.3659521341323853
site01,1,-1.899999976158142,-1.3285778760910034
site01,1,-1.7999999523162842,-1.291203498840332
site01,1,-1.7000000476837158,-1.2538293600082395
site01,1,-1.600000023841858,-1.2162975072860718
site01,1,-1.5,-1.1778703927993774
site01,1,-1.399999976158142,-1.141661524772644
site01,1,-1.2999999523162842,-1.106027603149414
site01,1,-1.2000000476837158,-1.0695087909698486
site01,1,-1.100000023841858,-1.0329145193099976
site01,1,-1.0,-1.003758668899536
site01,1,-0.8999999761581421,-0.9800813794136048
site01,1,-0.800000011920929,-0.9570376873016356
site01,1,-0.699999988079071,-0.9339938759803772
site01,1,-0.6000000238418579,-0.9106457829475404
site01,1,-0.5,-0.8868239521980286
site01,1,-0.4000000059604645,-0.8630160689353943
site01,1,-0.3000000119209289,-0.8392080664634705
site01,1,-0.2000000029802322,-0.8166130781173706
site01,1,-0.1000000014901161,-0.7933475375175476
site01,1,0.0,-0.770865261554718
site01,1,0.1000000014901161,-0.7503380179405212
site01,1,0.2000000029802322,-0.7318515181541443
site01,1,0.3000000119209289,-0.7150688171386719
site01,1,0.4000000059604645,-0.6989640593528748
site01,1,0.5,-0.6830741167068481
site01,1,0.6000000238418579,-0.6750969290733337
site01,1,0.699999988079071,-0.6688225269317627
site01,1,0.800000011920929,-0.663773775100708
site01,1,0.8999999761581421,-0.6587433218955994
site01,1,1.0,-0.6537129282951355
site01,1,1.100000023841858,-0.6513978242874146
site01,1,1.2000000476837158,-0.6597741842269897
site01,1,1.2999999523162842,-0.6681506633758545
site01,1,1.399999976158142,-0.6765270233154297
site01,1,1.5,-0.6849034428596497
site01,1,1.600000023841858,-0.6932799220085144
site01,1,1.7000000476837158,-0.7016563415527344
site01,1,1.7999999523162842,-0.7100327610969543
site01,1,1.899999976158142,-0.7184091806411743
site01,1,2.0,-0.7268583178520203
site01,1,2.0999999046325684,-0.7353242635726929
site01,1,2.200000047683716,-0.7441890239715576
site01,1,2.299999952316284,-0.7534568905830383
site01,1,2.400000095367432,-0.762724757194519
site01,1,2.5,-0.7719925045967102
site01,1,2.5999999046325684,-0.7812604308128357
site01,1,2.700000047683716,-0.7905282974243164
site01,1,2.799999952316284,-0.7997961044311523
site01,1,2.900000095367432,-0.8091701865196228
site01,1,3.0,-0.8186115622520447
site01,2,-3.0,-1.6224275827407837
site01,2,-2.900000095367432,-1.592215061187744
site01,2,-2.799999952316284,-1.562055230140686
site01,2,-2.700000047683716,-1.5319122076034546
site01,2,-2.5999999046325684,-1.5017691850662231
site01,2,-2.5,-1.4716261625289917
site01,2,-2.400000095367432,-1.4414831399917605
site01,2,-2.299999952316284,-1.4113401174545288
site01,2,-2.200000047683716,-1.3811970949172974
site01,2,-2.0999999046325684,-1.351011872291565
site01,2,-2.0,-1.3207809925079346
site01,2,-1.899999976158142,-1.290549874305725
site01,2,-1.7999999523162842,-1.2603187561035156
site01,2,-1.7000000476837158,-1.2300877571105957
site01,2,-1.600000023841858,-1.1998566389083862
site01,2,-1.5,-1.1696256399154663
site01,2,-1.399999976158142,-1.1392582654953003
site01,2,-1.2999999523162842,-1.1076160669326782
