site,round,stage,n_train,n_test,loss,accuracy,precision,recall,f1,auc,fs_r2
site01,0,global,1140,286,0.6604913473129272,0.7062937062937062,0.0,0.0,0.0,0.5128477133427628,0.022671589953471
site01,0,local,1140,286,0.6069547533988953,0.7062937062937062,0.0,0.0,0.0,0.5150872230080151,0.022671589953471
site01,1,global,1140,286,0.6050192713737488,0.7062937062937062,0.0,0.0,0.0,0.5154408297972655,0.022671589953471
site01,1,local,1140,286,0.604942262172699,0.7062937062937062,0.0,0.0,0.0,0.5153818953323904,0.022671589953471
site01,2,global,1140,286,0.6048421263694763,0.7062937062937062,0.0,0.0,0.0,0.5154408297972655,0.022671589953471
site01,2,local,1140,286,0.6048882007598877,0.7062937062937062,0.0,0.0,0.0,0.5154408297972655,0.022671589953471
site01,3,global,1140,286,0.6047422289848328,0.7062937062937062,0.0,0.0,0.0,0.5154408297972655,0.022671589953471
site01,3,local,1140,286,0.6047523617744446,0.7062937062937062,0.0,0.0,0.0,0.5154408297972655,0.022671589953471
site01,4,global,1140,286,0.6047808527946472,0.7062937062937062,0.0,0.0,0.0,0.5154408297972655,0.022671589953471
site01,4,local,1140,286,0.6046278476715088,0.7062937062937062,0.0,0.0,0.0,0.5154408297972655,0.022671589953471
site02,0,global,1888,473,0.6606992483139038,0.7061310782241015,0.0,0.0,0.0,0.5043510102097962,0.0739997915512639
site02,0,local,1888,473,0.6082034111022949,0.7061310782241015,0.0,0.0,0.0,0.5059449446430879,0.0739997915512639
site02,1,global,1888,473,0.6058205366134644,0.7061310782241015,0.0,0.0,0.0,0.5057080084435446,0.0739997915512639
site02,1,local,1888,473,0.6062280535697937,0.7061310782241015,0.0,0.0,0.0,0.5058372463705681,0.0739997915512639
site02,2,global,1888,473,0.6059147119522095,0.7061310782241015,0.0,0.0,0.0,0.5057080084435446,0.0739997915512639
site02,2,local,1888,473,0.6058968901634216,0.7061310782241015,0.0,0.0,0.0,0.5057080084435446,0.0739997915512639
site02,3,global,1888,473,0.6059107184410095,0.7061310782241015,0.0,0.0,0.0,0.5057080084435446,0.0739997915512639
site02,3,local,1888,473,0.6060271859169006,0.7061310782241015,0.0,0.0,0.0,0.5057080084435446,0.0739997915512639
site02,4,global,1888,473,0.6059919595718384,0.7061310782241015,0.0,0.0,0.0,0.5057080084435446,0.0739997915512639
site02,4,local,1888,473,0.6057319045066833,0.7061310782241015,0.0,0.0,0.0,0.5057080084435446,0.0739997915512639
site03,0,global,2784,696,0.6605781316757202,0.7040229885057471,0.0,0.0,0.0,0.5397067564890033,0.0629663809915702
site03,0,local,2784,696,0.6066990494728088,0.7040229885057471,0.0,0.0,0.0,0.5391866455319992,0.0629663809915702
site03,1,global,2784,696,0.6057531237602234,0.7040229885057471,0.0,0.0,0.0,0.5393302952248861,0.0629663809915702
site03,1,local,2784,696,0.6063823103904724,0.7040229885057471,0.0,0.0,0.0,0.5393302952248861,0.0629663809915702
site03,2,global,2784,696,0.6057037115097046,0.7040229885057471,0.0,0.0,0.0,0.5393302952248861,0.0629663809915702
site03,2,local,2784,696,0.6061858534812927,0.7040229885057471,0.0,0.0,0.0,0.5393302952248861,0.0629663809915702
site03,3,global,2784,696,0.6056980490684509,0.7040229885057471,0.0,0.0,0.0,0.5393302952248861,0.0629663809915702
site03,3,local,2784,696,0.6066550612449646,0.7040229885057471,0.0,0.0,0.0,0.5393302952248861,0.0629663809915702
site03,4,global,2784,696,0.6059051156044006,0.7040229885057471,0.0,0.0,0.0,0.5393302952248861,0.0629663809915702
site03,4,local,2784,696,0.6066717505455017,0.7040229885057471,0.0,0.0,0.0,0.5393302952248861,0.0629663809915702
site04,0,global,3644,912,0.6613166928291321,0.7017543859649122,0.0,0.0,0.0,0.5416561351102941,0.0769074657444776
site04,0,local,3644,912,0.6079279780387878,0.7017543859649122,0.0,0.0,0.0,0.5418543198529412,0.0769074657444776
site04,1,global,3644,912,0.60782790184021,0.7017543859649122,0.0,0.0,0.0,0.5418543198529412,0.0769074657444776
site04,1,local,3644,912,0.6080355048179626,0.7017543859649122,0.0,0.0,0.0,0.5418543198529412,0.0769074657444776
site04,2,global,3644,912,0.6078441739082336,0.7017543859649122,0.0,0.0,0.0,0.5418543198529412,0.0769074657444776
site04,2,local,3644,912,0.6100910902023315,0.7017543859649122,0.0,0.0,0.0,0.5418543198529412,0.0769074657444776
