site,round,stage,n_train,n_test,loss,c_index,events,fs_r2
site01,0,global,1140,286,4.873021125793457,0.4372725160690777,174.0,0.1148087987359186
site01,0,local,1140,286,4.856311798095703,0.5667931541857043,174.0,0.1148087987359186
site01,1,global,1140,286,4.860805988311768,0.5667931541857043,174.0,0.1148087987359186
site01,1,local,1140,286,4.856939792633057,0.5667931541857043,174.0,0.1148087987359186
site01,2,global,1140,286,4.859734535217285,0.5667931541857043,174.0,0.1148087987359186
site01,2,local,1140,286,4.857996940612793,0.5667931541857043,174.0,0.1148087987359186
site01,3,global,1140,286,4.860247611999512,0.5667931541857043,174.0,0.1148087987359186
site01,3,local,1140,286,4.858294486999512,0.5667931541857043,174.0,0.1148087987359186
site01,4,global,1140,286,4.8607916831970215,0.5667931541857043,174.0,0.1148087987359186
site01,4,local,1140,286,4.860276699066162,0.5667931541857043,174.0,0.1148087987359186
site02,0,global,1888,473,5.401624202728272,0.5073380281690141,280.0,0.0697191616289116
site02,0,local,1888,473,5.404135227203369,0.5000281690140845,280.0,0.0697191616289116
site02,1,global,1888,473,5.403505802154541,0.5000281690140845,280.0,0.0697191616289116
site02,1,local,1888,473,5.40183162689209,0.5000281690140845,280.0,0.0697191616289116
site02,2,global,1888,473,5.404090881347656,0.5000281690140845,280.0,0.0697191616289116
site02,2,local,1888,473,5.403619766235352,0.5000281690140845,280.0,0.0697191616289116
site02,3,global,1888,473,5.403578281402588,0.5000281690140845,280.0,0.0697191616289116
site02,3,local,1888,473,5.405606746673584,0.5000281690140845,280.0,0.0697191616289116
site02,4,global,1888,473,5.403581142425537,0.5000281690140845,280.0,0.0697191616289116
site02,4,local,1888,473,5.402524471282959,0.5000281690140845,280.0,0.0697191616289116
site03,0,global,2784,696,5.713656425476074,0.4543584780110096,422.0,0.0728420454749579
site03,0,local,2784,696,5.708102703094482,0.5362181490667366,422.0,0.0728420454749579
site03,1,global,2784,696,5.705623626708984,0.5449357772266247,422.0,0.0728420454749579
site03,1,local,2784,696,5.70615816116333,0.5449357772266247,422.0,0.0728420454749579
site03,2,global,2784,696,5.705038070678711,0.5449357772266247,422.0,0.0728420454749579
site03,2,local,2784,696,5.706798553466797,0.5449357772266247,422.0,0.0728420454749579
site03,3,global,2784,696,5.7052388191223145,0.5449357772266247,422.0,0.0728420454749579
site03,3,local,2784,696,5.707056522369385,0.5449357772266247,422.0,0.0728420454749579
site03,4,global,2784,696,5.70543909072876,0.5449357772266247,422.0,0.0728420454749579
site03,4,local,2784,696,5.705321788787842,0.5449357772266247,422.0,0.0728420454749579
site04,0,global,3644,912,5.989282131195068,0.5047602283685121,556.0,0.102206996217027
site04,0,local,3644,912,5.993668079376221,0.4946198705095434,556.0,0.102206996217027
site04,1,global,3644,912,5.99238920211792,0.4946198705095434,556.0,0.102206996217027
site04,1,local,3644,912,5.994713306427002,0.4946198705095434,556.0,0.102206996217027
site04,2,global,3644,912,5.9931721687316895,0.4946198705095434,556.0,0.102206996217027
site04,2,local,3644,912,5.989876747131348,0.4946198705095434,556.0,0.102206996217027
site04,3,global,3644,912,5.992528438568115,0.4946198705095434,556.0,0.102206996217027
site04,3,local,3644,912,5.992715358734131,0.4946198705095434,556.0,0.102206996217027
site04,4,global,3644,912,5.99217700958252,0.4946198705095434,556.0,0.102206996217027
site04,4,local,3644,912,5.9939045906066895,0.4946198705095434,556.0,0.102206996217027
site05,0,global,3704,927,5.984683990478516,0.5002113110422394,558.0,0.0594327592914366
site05,0,local,3704,927,5.983532428741455,0.5119628701750646,558.0,0.0594327592914366
site05,1,global,3704,927,5.983407974243164,0.5122408108252172,558.0,0.0594327592914366
site05,1,local,3704,927,5.9836273193359375,0.5122408108252172,558.0,0.0594327592914366
site05,2,global,3704,927,5.983603477478027,0.5122408108252172,558.0,0.0594327592914366
site05,2,local,3704,927,5.983089923858643,0.5122408108252172,558.0,0.0594327592914366
site05,3,global,3704,927,5.983355522155762,0.5122408108252172,558.0,0.0594327592914366
site05,3,local,3704,927,5.983049392700195,0.5122408108252172,558.0,0.0594327592914366
site05,4,global,3704,927,5.983242511749268,0.5122408108252172,558.0,0.0594327592914366
