site,round,stage,n_train,n_test,loss,mse,mae,r2,fs_r2
site01,0,global,1140,286,1.373349666595459,1.373349666595459,0.9481621384620668,-0.0094498395919799,0.0217035588937736
site01,0,local,1140,286,1.4244650602340698,1.4244650602340698,0.9354166984558104,-0.0470210313796997,0.0217035588937736
site01,1,global,1140,286,1.3747529983520508,1.3747529983520508,0.93071186542511,-0.0104812383651733,0.0217035588937736
site01,1,local,1140,286,1.364470362663269,1.364470362663269,0.9318270087242126,-0.0029232501983642,0.0217035588937736
site01,2,global,1140,286,1.3848050832748413,1.3848050832748413,0.9305756092071532,-0.0178698301315307,0.0217035588937736
site01,2,local,1140,286,1.378866195678711,1.378866195678711,0.9335205554962158,-0.0135046243667602,0.0217035588937736
site01,3,global,1140,286,1.3822689056396484,1.3822689056396484,0.931069314479828,-0.0160057544708251,0.0217035588937736
site01,3,local,1140,286,1.380112648010254,1.380112648010254,0.9312787055969238,-0.014420747756958,0.0217035588937736
site01,4,global,1140,286,1.3789618015289309,1.3789618015289309,0.931052267551422,-0.0135749578475952,0.0217035588937736
site01,4,local,1140,286,1.3764764070510864,1.3764764070510864,0.9323270320892334,-0.0117480754852294,0.0217035588937736
site02,0,global,1888,473,1.5007553100585938,1.5007553100585938,0.9710832238197328,-0.0959768295288086,0.092725156891254
site02,0,local,1888,473,1.3710463047027588,1.3710463047027588,0.9344906210899352,-0.0012524127960205,0.092725156891254
site02,1,global,1888,473,1.3863660097122192,1.3863660097122192,0.9395460486412048,-0.0124402046203613,0.092725156891254
site02,1,local,1888,473,1.3778338432312012,1.3778338432312012,0.9368071556091307,-0.0062092542648315,0.092725156891254
site02,2,global,1888,473,1.37925922870636,1.37925922870636,0.937584638595581,-0.0072501897811889,0.092725156891254
site02,2,local,1888,473,1.3769477605819702,1.3769477605819702,0.9357329607009888,-0.0055621862411499,0.092725156891254
site02,3,global,1888,473,1.381799817085266,1.381799817085266,0.938647449016571,-0.0091055631637573,0.092725156891254
site02,3,local,1888,473,1.3801692724227903,1.3801692724227903,0.936664581298828,-0.0079149007797241,0.092725156891254
site02,4,global,1888,473,1.3832210302352903,1.3832210302352903,0.9388230443000792,-0.0101435184478759,0.092725156891254
site02,4,local,1888,473,1.3847492933273315,1.3847492933273315,0.9388623833656312,-0.0112595558166503,0.092725156891254
site03,0,global,2784,696,1.505546808242798,1.505546808242798,0.9853742122650146,-0.0657688379287719,0.063061995104685
site03,0,local,2784,696,1.4013803005218506,1.4013803005218506,0.9490978121757508,0.0079700946807861,0.063061995104685
site03,1,global,2784,696,1.405895709991455,1.405895709991455,0.9512860774993896,0.0047736763954162,0.063061995104685
site03,1,local,2784,696,1.4091774225234983,1.4091774225234983,0.952742636203766,0.0024505853652954,0.063061995104685
site03,2,global,2784,696,1.4040621519088743,1.4040621519088743,0.9504641890525818,0.0060716271400451,0.063061995104685
site03,2,local,2784,696,1.407964110374451,1.407964110374451,0.9520854949951172,0.0033094882965087,0.063061995104685
site03,3,global,2784,696,1.403103232383728,1.403103232383728,0.950090229511261,0.0067505240440368,0.063061995104685
site03,3,local,2784,696,1.4028218984603882,1.4028218984603882,0.9502360224723816,0.0069496631622314,0.063061995104685
site03,4,global,2784,696,1.4040496349334717,1.4040496349334717,0.9504189491271972,0.0060805082321166,0.063061995104685
site03,4,local,2784,696,1.4056434631347656,1.4056434631347656,0.9513065814971924,0.0049522519111633,0.063061995104685
site04,0,global,3644,912,1.47687828540802,1.47687828540802,0.9691190123558044,-0.073846697807312,0.080704962135807
site04,0,local,3644,912,1.3820757865905762,1.3820757865905762,0.9381906390190125,-0.0049152374267578,0.080704962135807
site04,1,global,3644,912,1.3705617189407349,1.3705617189407349,0.9346538782119752,0.003456711769104,0.080704962135807
site04,1,local,3644,912,1.3668633699417114,1.3668633699417114,0.9331907033920288,0.0061458349227905,0.080704962135807
