site,round,stage,n_train,n_test,loss,mse,mae,r2,fs_r2
site01,0,global,1140,286,1.241737961769104,1.241737961769104,0.8986859917640686,-0.0011895895004272,0.0217035588937736
site01,0,local,1140,286,1.2596900463104248,1.2596900463104248,0.8930944800376892,-0.0156641006469726,0.0217035588937736
site01,1,global,1140,286,1.2635576725006104,1.2635576725006104,0.8920634984970093,-0.0187824964523315,0.0217035588937736
site01,1,local,1140,286,1.2618681192398071,1.2618681192398071,0.891635000705719,-0.0174201726913452,0.0217035588937736
site01,2,global,1140,286,1.268462896347046,1.268462896347046,0.8923285007476807,-0.0227373838424682,0.0217035588937736
site01,2,local,1140,286,1.2572578191757202,1.2572578191757202,0.891447901725769,-0.0137029886245727,0.0217035588937736
site01,3,global,1140,286,1.2656474113464355,1.2656474113464355,0.891988217830658,-0.0204672813415527,0.0217035588937736
site01,3,local,1140,286,1.25869882106781,1.25869882106781,0.891447901725769,-0.0148648023605346,0.0217035588937736
site01,4,global,1140,286,1.265803575515747,1.265803575515747,0.8920052647590637,-0.0205932855606079,0.0217035588937736
site01,4,local,1140,286,1.2552601099014282,1.2552601099014282,0.8914788961410522,-0.0120922327041625,0.0217035588937736
site02,0,global,1888,473,1.278762936592102,1.278762936592102,0.903170883655548,-0.0605148077011108,0.092725156891254
site02,0,local,1888,473,1.2052333354949951,1.2052333354949951,0.8736253380775452,0.0004653930664062,0.092725156891254
site02,1,global,1888,473,1.2131707668304443,1.2131707668304443,0.877223789691925,-0.0061173439025878,0.092725156891254
site02,1,local,1888,473,1.2119566202163696,1.2119566202163696,0.8765770196914673,-0.0051103830337524,0.092725156891254
site02,2,global,1888,473,1.2102601528167725,1.2102601528167725,0.8758618235588074,-0.0037034749984741,0.092725156891254
site02,2,local,1888,473,1.209736943244934,1.209736943244934,0.8756328225135803,-0.0032695531845092,0.092725156891254
site02,3,global,1888,473,1.2114838361740112,1.2114838361740112,0.8763853311538696,-0.0047183036804199,0.092725156891254
site02,3,local,1888,473,1.2110695838928225,1.2110695838928225,0.8762138485908508,-0.0043747425079345,0.092725156891254
site02,4,global,1888,473,1.2114102840423584,1.2114102840423584,0.8763554096221924,-0.0046572685241699,0.092725156891254
