site,round,stage,n_train,n_test,loss,accuracy,precision,recall,f1,auc,fs_r2,xhat_sd
site01,0,global,1140,286,0.6608012318611145,0.7062937062937062,0.0,0.0,0.0,0.568953323903819,0.022671589953471,0.3718494474887848
site01,0,local,1140,286,0.6041998863220215,0.7062937062937062,0.5,0.0357142857142857,0.0666666666666666,0.5727840641206977,0.022671589953471,0.3718494474887848
site01,1,global,1140,286,0.5931764245033264,0.7062937062937062,0.5,0.0357142857142857,0.0666666666666666,0.5737859500235738,0.022671589953471,0.3718494474887848
site01,1,local,1140,286,0.5907835364341736,0.7097902097902098,0.5714285714285714,0.0476190476190476,0.0879120879120879,0.5922913719943425,0.022671589953471,0.3718494474887848
site01,2,global,1140,286,0.5934458374977112,0.7062937062937062,0.5,0.0357142857142857,0.0666666666666666,0.5745520980669496,0.022671589953471,0.3718494474887848
site01,2,local,1140,286,0.5915945768356323,0.7097902097902098,0.5384615384615384,0.0833333333333333,0.1443298969072164,0.5873408769448373,0.022671589953471,0.3718494474887848
site01,3,global,1140,286,0.5914609432220459,0.7062937062937062,0.5,0.0357142857142857,0.0666666666666666,0.5905233380480905,0.022671589953471,0.3718494474887848
site01,3,local,1140,286,0.5908388495445251,0.7097902097902098,0.5555555555555556,0.0595238095238095,0.1075268817204301,0.5928807166430929,0.022671589953471,0.3718494474887848
site01,4,global,1140,286,0.5930842161178589,0.7062937062937062,0.5,0.0357142857142857,0.0666666666666666,0.5788543140028288,0.022671589953471,0.3718494474887848
site01,4,local,1140,286,0.5917922854423523,0.7062937062937062,0.5,0.0357142857142857,0.0666666666666666,0.5863979255068363,0.022671589953471,0.3718494474887848
site01,5,global,1140,286,0.5927353501319885,0.7062937062937062,0.5,0.0357142857142857,0.0666666666666666,0.5806812824139556,0.022671589953471,0.3718494474887848
site02,0,global,1888,473,0.6578711271286011,0.7061310782241015,0.0,0.0,0.0,0.5805690776719942,0.0739997915512639,0.3336126804351806
site02,0,local,1888,473,0.6019560098648071,0.6976744186046512,0.3571428571428571,0.0359712230215827,0.065359477124183,0.5753887907637961,0.0739997915512639,0.3336126804351806
site02,1,global,1888,473,0.5975881814956665,0.6976744186046512,0.3571428571428571,0.0359712230215827,0.065359477124183,0.5785335803213717,0.0739997915512639,0.3336126804351806
site02,1,local,1888,473,0.5992670655250549,0.7103594080338267,0.5384615384615384,0.1007194244604316,0.1696969696969697,0.5762934562529617,0.0739997915512639,0.3336126804351806
site02,2,global,1888,473,0.5980406403541565,0.6976744186046512,0.3571428571428571,0.0359712230215827,0.065359477124183,0.5788135958299229,0.0739997915512639,0.3336126804351806
site02,2,local,1888,473,0.5963300466537476,0.6997885835095138,0.2,0.0071942446043165,0.0138888888888888,0.5794167061560331,0.0739997915512639,0.3336126804351806
site02,3,global,1888,473,0.597247838973999,0.6976744186046512,0.3571428571428571,0.0359712230215827,0.065359477124183,0.5802998319906949,0.0739997915512639,0.3336126804351806
site02,3,local,1888,473,0.5978640913963318,0.7040169133192389,0.4705882352941176,0.0575539568345323,0.1025641025641025,0.5756472666178435,0.0739997915512639,0.3336126804351806
site02,4,global,1888,473,0.5977214574813843,0.6976744186046512,0.375,0.0431654676258992,0.0774193548387096,0.5789428337569466,0.0739997915512639,0.3336126804351806
site02,4,local,1888,473,0.5968175530433655,0.6955602536997886,0.3076923076923077,0.0287769784172661,0.0526315789473684,0.576573471761513,0.0739997915512639,0.3336126804351806
site02,5,global,1888,473,0.5980777740478516,0.6976744186046512,0.3571428571428571,0.0359712230215827,0.065359477124183,0.5797613406280964,0.0739997915512639,0.3336126804351806
site03,0,global,2784,696,0.6553450226783752,0.7040229885057471,0.0,0.0,0.0,0.6028680404200515,0.0629663809915702,0.2860513925552368
site03,0,local,2784,696,0.5942183136940002,0.7068965517241379,0.5833333333333334,0.0339805825242718,0.0642201834862385,0.5973449574004359,0.0629663809915702,0.2860513925552368
site03,1,global,2784,696,0.5933464169502258,0.7054597701149425,0.5384615384615384,0.0339805825242718,0.0639269406392694,0.5974143055280365,0.0629663809915702,0.2860513925552368
site03,1,local,2784,696,0.5951090455055237,0.7054597701149425,0.5333333333333333,0.0388349514563106,0.0723981900452488,0.6017634238161284,0.0629663809915702,0.2860513925552368
site03,2,global,2784,696,0.593669056892395,0.7025862068965517,0.4782608695652174,0.0533980582524271,0.0960698689956331,0.5971369130176343,0.0629663809915702,0.2860513925552368
site03,2,local,2784,696,0.5943790078163147,0.7068965517241379,0.5833333333333334,0.0339805825242718,0.0642201834862385,0.5986724787002179,0.0629663809915702,0.2860513925552368
site03,3,global,2784,696,0.5942962765693665,0.7068965517241379,0.5625,0.0436893203883495,0.081081081081081,0.593075094115316,0.0629663809915702,0.2860513925552368
site03,3,local,2784,696,0.5959958434104919,0.7054597701149425,0.5384615384615384,0.0339805825242718,0.0639269406392694,0.5943629879136121,0.0629663809915702,0.2860513925552368
site03,4,global,2784,696,0.5940341949462891,0.6997126436781609,0.4444444444444444,0.058252427184466,0.1030042918454935,0.5952347929463047,0.0629663809915702,0.2860513925552368
site03,4,local,2784,696,0.5945372581481934,0.7068965517241379,0.5833333333333334,0.0339805825242718,0.0642201834862385,0.5988309887061621,0.0629663809915702,0.2860513925552368
site03,5,global,2784,696,0.5941547751426697,0.6997126436781609,0.4444444444444444,0.058252427184466,0.1030042918454935,0.594927679809788,0.0629663809915702,0.2860513925552368
site04,0,global,3644,912,0.6566873788833618,0.7017543859649122,0.0,0.0,0.0,0.6024672564338235,0.0769074657444776,0.3019294142723083
site04,0,local,3644,912,0.5933986306190491,0.7083333333333334,0.625,0.0551470588235294,0.1013513513513513,0.6000287224264705,0.0769074657444776,0.3019294142723083
site04,1,global,3644,912,0.5932822823524475,0.7072368421052632,0.6,0.0551470588235294,0.101010101010101,0.6015050551470589,0.0769074657444776,0.3019294142723083
site04,1,local,3644,912,0.5947803854942322,0.7072368421052632,0.6190476190476191,0.0477941176470588,0.0887372013651877,0.5906422334558824,0.0769074657444776,0.3019294142723083
site04,2,global,3644,912,0.5929169654846191,0.7050438596491229,0.5428571428571428,0.0698529411764705,0.1237785016286645,0.6012178308823529,0.0769074657444776,0.3019294142723083
site04,2,local,3644,912,0.5981526374816895,0.7050438596491229,0.5483870967741935,0.0625,0.1122112211221122,0.5835190716911764,0.0769074657444776,0.3019294142723083
site04,3,global,3644,912,0.5938141942024231,0.7039473684210527,0.5357142857142857,0.0551470588235294,0.1,0.5959501378676471,0.0769074657444776,0.3019294142723083
site04,3,local,3644,912,0.5943261981010437,0.7072368421052632,0.5675675675675675,0.0772058823529411,0.1359223300970873,0.5961511948529411,0.0769074657444776,0.3019294142723083
site04,4,global,3644,912,0.5931175351142883,0.7072368421052632,0.5641025641025641,0.0808823529411764,0.1414790996784566,0.5997989430147059,0.0769074657444776,0.3019294142723083
site04,4,local,3644,912,0.5934758186340332,0.7116228070175439,0.6046511627906976,0.0955882352941176,0.165079365079365,0.5939108455882353,0.0769074657444776,0.3019294142723083
site04,5,global,3644,912,0.5932617783546448,0.7083333333333334,0.5789473684210527,0.0808823529411764,0.1419354838709677,0.5991957720588236,0.0769074657444776,0.3019294142723083
site05,0,global,3704,927,0.6554290056228638,0.7076591154261057,0.0,0.0,0.0,0.612180496804968,0.0626080641910074,0.2676108479499817
site05,0,local,3704,927,0.5933125019073486,0.703344120819849,0.3888888888888889,0.025830258302583,0.0484429065743944,0.615459904599046,0.0626080641910074,0.2676108479499817
site05,1,global,3704,927,0.592191755771637,0.697950377562028,0.32,0.029520295202952,0.054054054054054,0.6161630366303663,0.0626080641910074,0.2676108479499817
site05,1,local,3704,927,0.5923969745635986,0.7001078748651565,0.4186046511627907,0.066420664206642,0.1146496815286624,0.6148917739177392,0.0626080641910074,0.2676108479499817
site05,2,global,3704,927,0.592219889163971,0.7001078748651565,0.4,0.051660516605166,0.0915032679738562,0.6161461614616146,0.0626080641910074,0.2676108479499817
site05,2,local,3704,927,0.5920544266700745,0.6990291262135923,0.4,0.059040590405904,0.1028938906752411,0.6159830348303482,0.0626080641910074,0.2676108479499817
site05,3,global,3704,927,0.5927104949951172,0.6968716289104638,0.3214285714285714,0.033210332103321,0.060200668896321,0.6143123931239313,0.0626080641910074,0.2676108479499817
site05,3,local,3704,927,0.5914287567138672,0.6990291262135923,0.3823529411764705,0.047970479704797,0.0852459016393442,0.6155499054990551,0.0626080641910074,0.2676108479499817
site05,4,global,3704,927,0.5922517776489258,0.697950377562028,0.3783783783783784,0.051660516605166,0.0909090909090909,0.6159942849428494,0.0626080641910074,0.2676108479499817
site05,4,local,3704,927,0.5927966833114624,0.7011866235167206,0.4516129032258064,0.1033210332103321,0.1681681681681681,0.6146161461614617,0.0626080641910074,0.2676108479499817
site05,5,global,3704,927,0.5922383666038513,0.697950377562028,0.3783783783783784,0.051660516605166,0.0909090909090909,0.6162249122491225,0.0626080641910074,0.2676108479499817
site06,0,global,4503,1126,0.662093460559845,0.69449378330373,0.0,0.0,0.0,0.5421400107060013,0.0445922448009395,0.2029754221439361
site06,0,local,4503,1126,0.6161169409751892,0.6882770870337478,0.4492753623188406,0.0901162790697674,0.1501210653753026,0.5494780824362101,0.0445922448009395,0.2029754221439361
site06,1,global,4503,1126,0.6126300096511841,0.69449378330373,0.5,0.0377906976744186,0.0702702702702702,0.5469725807410931,0.0445922448009395,0.2029754221439361
site06,1,local,4503,1126,0.6185556650161743,0.6936056838365897,0.4893617021276595,0.066860465116279,0.1176470588235294,0.5441473859513472,0.0445922448009395,0.2029754221439361
site06,2,global,4503,1126,0.6136458516120911,0.69449378330373,0.5,0.0610465116279069,0.1088082901554404,0.5465525188841968,0.0445922448009395,0.2029754221439361
site06,2,local,4503,1126,0.6138256192207336,0.6918294849023091,0.4594594594594595,0.0494186046511627,0.0892388451443569,0.5494520609052519,0.0445922448009395,0.2029754221439361
site06,3,global,4503,1126,0.6124223470687866,0.69449378330373,0.5,0.0465116279069767,0.0851063829787234,0.5492067150419319,0.0445922448009395,0.2029754221439361
site06,3,local,4503,1126,0.6153139472007751,0.69449378330373,0.5,0.063953488372093,0.1134020618556701,0.5458350681020638,0.0445922448009395,0.2029754221439361
site06,4,global,4503,1126,0.6135542988777161,0.69449378330373,0.5,0.063953488372093,0.1134020618556701,0.5472848391125915,0.0445922448009395,0.2029754221439361
site06,4,local,4503,1126,0.6156685948371887,0.6882770870337478,0.4492753623188406,0.0901162790697674,0.1501210653753026,0.5495487123059537,0.0445922448009395,0.2029754221439361
site06,5,global,4503,1126,0.6149400472640991,0.69449378330373,0.5,0.063953488372093,0.1134020618556701,0.5475413370606078,0.0445922448009395,0.2029754221439361
site07,0,global,5712,1429,0.6594769954681396,0.6969909027291813,0.0,0.0,0.0,0.5628483912555534,0.1135219782439602,0.3754430115222931
site07,0,local,5712,1429,0.6089109182357788,0.6969909027291813,0.5,0.0184757505773672,0.0356347438752783,0.5635961861302021,0.1135219782439602,0.3754430115222931
site07,1,global,5712,1429,0.6088901162147522,0.6983904828551435,0.5333333333333333,0.0369515011547344,0.0691144708423326,0.5651567007058256,0.1135219782439602,0.3754430115222931
site07,1,local,5712,1429,0.6092088222503662,0.695591322603219,0.4791666666666667,0.0531177829099307,0.0956340956340956,0.5660308671174304,0.1135219782439602,0.3754430115222931
site07,2,global,5712,1429,0.6094738245010376,0.6948915325402379,0.4705882352941176,0.0554272517321016,0.0991735537190082,0.5653793001103722,0.1135219782439602,0.3754430115222931
site07,2,local,5712,1429,0.6106950044631958,0.6983904828551435,0.5416666666666666,0.0300230946882217,0.0568927789934354,0.565390893829359,0.1135219782439602,0.3754430115222931
site07,3,global,5712,1429,0.6091316938400269,0.6976906927921623,0.5142857142857142,0.0415704387990762,0.0769230769230769,0.5639671851377798,0.1135219782439602,0.3754430115222931
site07,3,local,5712,1429,0.6099219918251038,0.6941917424772568,0.4615384615384615,0.0554272517321016,0.0989690721649484,0.5661305731007169,0.1135219782439602,0.3754430115222931
