site,round,stage,n_train,n_test,loss,c_index,events,fs_r2
site01,0,global,342,86,4.389550685882568,0.5951807228915663,5.0,-0.0155334727718392
site01,0,local,342,86,4.404004096984863,0.4963855421686747,5.0,-0.0155334727718392
site01,1,global,342,86,4.58412504196167,0.4819277108433735,5.0,-0.0155334727718392
site01,1,local,342,86,4.530971050262451,0.4698795180722891,5.0,-0.0155334727718392
site01,2,global,342,86,4.58150053024292,0.4819277108433735,5.0,-0.0155334727718392
site01,2,local,342,86,4.525827884674072,0.4674698795180723,5.0,-0.0155334727718392
site01,3,global,342,86,4.59241247177124,0.4843373493975904,5.0,-0.0155334727718392
site01,3,local,342,86,4.523171424865723,0.4771084337349398,5.0,-0.0155334727718392
site01,4,global,342,86,4.577301502227783,0.4795180722891566,5.0,-0.0155334727718392
site01,4,local,342,86,4.527423858642578,0.4771084337349398,5.0,-0.0155334727718392
site02,0,global,566,142,5.074087619781494,0.3971223021582734,5.0,-0.0166151999911112
site02,0,local,566,142,4.8756842613220215,0.6215827338129496,5.0,-0.0166151999911112
site02,1,global,566,142,4.801377296447754,0.6201438848920864,5.0,-0.0166151999911112
site02,1,local,566,142,4.828936100006104,0.6201438848920864,5.0,-0.0166151999911112
site02,2,global,566,142,4.8058762550354,0.6215827338129496,5.0,-0.0166151999911112
site02,2,local,566,142,4.787264823913574,0.6201438848920864,5.0,-0.0166151999911112
site02,3,global,566,142,4.797789573669434,0.6230215827338129,5.0,-0.0166151999911112
site02,3,local,566,142,4.804281711578369,0.6187050359712231,5.0,-0.0166151999911112
site02,4,global,566,142,4.807070732116699,0.6230215827338129,5.0,-0.0166151999911112
site02,4,local,566,142,4.797735691070557,0.6201438848920864,5.0,-0.0166151999911112
site03,0,global,835,209,5.498445510864258,0.2418300653594771,9.0,-0.0006603469568937
site03,0,local,835,209,5.142873764038086,0.7287581699346405,9.0,-0.0006603469568937
site03,1,global,835,209,5.073024272918701,0.7407407407407407,9.0,-0.0006603469568937
site03,1,local,835,209,5.009541034698486,0.7472766884531591,9.0,-0.0006603469568937
site03,2,global,835,209,5.073513031005859,0.7429193899782135,9.0,-0.0006603469568937
site03,2,local,835,209,5.012383937835693,0.7478213507625272,9.0,-0.0006603469568937
site03,3,global,835,209,5.06402587890625,0.7440087145969498,9.0,-0.0006603469568937
site03,3,local,835,209,5.012754440307617,0.7472766884531591,9.0,-0.0006603469568937
site03,4,global,835,209,5.072081089019775,0.7440087145969498,9.0,-0.0006603469568937
site03,4,local,835,209,5.0143232345581055,0.7472766884531591,9.0,-0.0006603469568937
site04,0,global,1093,274,5.59054708480835,0.4707635009310987,10.0,0.0707256360805992
site04,0,local,1093,274,5.690943717956543,0.4741154562383612,10.0,0.0707256360805992
site04,1,global,1093,274,5.696173667907715,0.4729981378026071,10.0,0.0707256360805992
site04,1,local,1093,274,5.743245124816895,0.4811918063314711,10.0,0.0707256360805992
site04,2,global,1093,274,5.6922688484191895,0.4715083798882681,10.0,0.0707256360805992
site04,2,local,1093,274,5.641716003417969,0.4782122905027933,10.0,0.0707256360805992
site04,3,global,1093,274,5.7124223709106445,0.4733705772811918,10.0,0.0707256360805992
site04,3,local,1093,274,5.634536266326904,0.478584729981378,10.0,0.0707256360805992
site04,4,global,1093,274,5.700006484985352,0.4741154562383612,10.0,0.0707256360805992
site04,4,local,1093,274,5.604936122894287,0.4770949720670391,10.0,0.0707256360805992
site05,0,global,1111,278,5.738718986511231,0.2608872608872609,9.0,0.0506812773308672
site05,0,local,1111,278,5.3786492347717285,0.7346357346357346,9.0,0.0506812773308672
site05,1,global,1111,278,5.402371406555176,0.7289377289377289,9.0,0.0506812773308672
site05,1,local,1111,278,5.368196964263916,0.7346357346357346,9.0,0.0506812773308672
site05,2,global,1111,278,5.400784492492676,0.7285307285307285,9.0,0.0506812773308672
site05,2,local,1111,278,5.294836044311523,0.7382987382987383,9.0,0.0506812773308672
site05,3,global,1111,278,5.397571086883545,0.7301587301587301,9.0,0.0506812773308672
site05,3,local,1111,278,5.331614017486572,0.7366707366707367,9.0,0.0506812773308672
site05,4,global,1111,278,5.401496410369873,0.7305657305657306,9.0,0.0506812773308672
site05,4,local,1111,278,5.302642345428467,0.7366707366707367,9.0,0.0506812773308672
site06,0,global,1351,338,5.828566551208496,0.4750378214826021,14.0,0.0360703607772637
site06,0,local,1351,338,5.921084880828857,0.5336070888264535,14.0,0.0360703607772637
site06,1,global,1351,338,5.891707897186279,0.5370650529500757,14.0,0.0360703607772637
site06,1,local,1351,338,5.873875617980957,0.5288523881564728,14.0,0.0360703607772637
site06,2,global,1351,338,5.883620262145996,0.5362005619191701,14.0,0.0360703607772637
site06,2,local,1351,338,5.891379356384277,0.5329587205532743,14.0,0.0360703607772637
site06,3,global,1351,338,5.884478092193604,0.5368489301923492,14.0,0.0360703607772637
site06,3,local,1351,338,5.916220188140869,0.5349038253728118,14.0,0.0360703607772637
site06,4,global,1351,338,5.872352600097656,0.5368489301923492,14.0,0.0360703607772637
site06,4,local,1351,338,5.900080680847168,0.5349038253728118,14.0,0.0360703607772637
site07,0,global,1714,429,6.144207000732422,0.3587489008918477,19.0,0.1116969749328241
site07,0,local,1714,429,5.92284631729126,0.6671272453209396,19.0,0.1116969749328241
site07,1,global,1714,429,5.925586700439453,0.6643637733953021,19.0,0.1116969749328241
site07,1,local,1714,429,5.914295196533203,0.6666247958799146,19.0,0.1116969749328241
site07,2,global,1714,429,5.923938751220703,0.6644893857555584,19.0,0.1116969749328241
site07,2,local,1714,429,5.926096439361572,0.6663735711594021,19.0,0.1116969749328241
site07,3,global,1714,429,5.915538311004639,0.6659967340786334,19.0,0.1116969749328241
site07,3,local,1714,429,5.899021625518799,0.669388267805552,19.0,0.1116969749328241
site07,4,global,1714,429,5.917693138122559,0.6653686722773521,19.0,0.1116969749328241
site07,4,local,1714,429,5.910757541656494,0.6664991835196583,19.0,0.1116969749328241
site08,0,global,1957,490,6.407796382904053,0.2210296525377478,23.0,0.2035165968392807
site08,0,local,1957,490,5.689752101898193,0.7975259232308531,23.0,0.2035165968392807
site08,1,global,1957,490,5.785900115966797,0.797071129707113,23.0,0.2035165968392807
site08,1,local,1957,490,5.722466468811035,0.799163179916318,23.0,0.2035165968392807
site08,2,global,1957,490,5.788534641265869,0.7981626341640895,23.0,0.2035165968392807
site08,2,local,1957,490,5.80968189239502,0.8005275604875387,23.0,0.2035165968392807
site08,3,global,1957,490,5.766765594482422,0.7988903038020738,23.0,0.2035165968392807
site08,3,local,1957,490,5.779622554779053,0.7997089321448062,23.0,0.2035165968392807
site08,4,global,1957,490,5.786478519439697,0.7985264689830817,23.0,0.2035165968392807
site08,4,local,1957,490,5.815853595733643,0.8006185191922867,23.0,0.2035165968392807
site09,0,global,2021,506,6.234629154205322,0.4844217567329695,23.0,0.021537506005879
site09,0,local,2021,506,6.260091304779053,0.5006160887167752,23.0,0.021537506005879
site09,1,global,2021,506,6.289492607116699,0.5065129378630523,23.0,0.021537506005879
site09,1,local,2021,506,6.221284866333008,0.4831895792994191,23.0,0.021537506005879
site09,2,global,2021,506,6.285421848297119,0.505808836472452,23.0,0.021537506005879
site09,2,local,2021,506,6.215630054473877,0.4446400281640556,23.0,0.021537506005879
site09,3,global,2021,506,6.287095546722412,0.5069530012321775,23.0,0.021537506005879
site09,3,local,2021,506,6.216006278991699,0.482925541277944,23.0,0.021537506005879
site09,4,global,2021,506,6.27799654006958,0.5068649885583524,23.0,0.021537506005879
site09,4,local,2021,506,6.213845252990723,0.4412075338848794,23.0,0.021537506005879
site10,0,global,2251,563,6.339391708374023,0.4752572268495835,26.0,0.0442715476421389
site10,0,local,2251,563,6.326085090637207,0.5556799888010079,26.0,0.0442715476421389
site10,1,global,2251,563,6.3306756019592285,0.5547700706936376,26.0,0.0442715476421389
site10,1,local,2251,563,6.320033073425293,0.5533701966822986,26.0,0.0442715476421389
site10,2,global,2251,563,6.328083515167236,0.5548400643942045,26.0,0.0442715476421389
site10,2,local,2251,563,6.310093879699707,0.5540001399874012,26.0,0.0442715476421389
site10,3,global,2251,563,6.331481456756592,0.5552600265976062,26.0,0.0442715476421389
site10,3,local,2251,563,6.310004234313965,0.5539301462868342,26.0,0.0442715476421389
site10,4,global,2251,563,6.325076103210449,0.555540001399874,26.0,0.0442715476421389
site10,4,local,2251,563,6.302316665649414,0.551410373066424,26.0,0.0442715476421389
