site,round,x,f
site01,0,-3.0,-0.3130758702754974
site01,0,-2.900000095367432,-0.2957406342029571
site01,0,-2.799999952316284,-0.2783901393413543
site01,0,-2.700000047683716,-0.2634800970554352
site01,0,-2.5999999046325684,-0.2500723302364349
site01,0,-2.5,-0.2366646826267242
site01,0,-2.400000095367432,-0.2247622609138488
site01,0,-2.299999952316284,-0.2134684771299362
site01,0,-2.200000047683716,-0.2032484710216522
site01,0,-2.0999999046325684,-0.1935672014951706
site01,0,-2.0,-0.1838386952877044
site01,0,-1.899999976158142,-0.1737281680107116
site01,0,-1.7999999523162842,-0.1629955321550369
site01,0,-1.7000000476837158,-0.1522983610630035
site01,0,-1.600000023841858,-0.1433991938829422
site01,0,-1.5,-0.1346911191940307
site01,0,-1.399999976158142,-0.1301776766777038
site01,0,-1.2999999523162842,-0.1259067952632904
site01,0,-1.2000000476837158,-0.123540498316288
site01,0,-1.100000023841858,-0.1201438680291175
site01,0,-1.0,-0.1154334023594856
site01,0,-0.8999999761581421,-0.1074166744947433
site01,0,-0.800000011920929,-0.0963683277368545
site01,0,-0.699999988079071,-0.0854515209794044
site01,0,-0.6000000238418579,-0.0726641044020652
site01,0,-0.5,-0.0597996562719345
site01,0,-0.4000000059604645,-0.0466404408216476
site01,0,-0.3000000119209289,-0.0396821945905685
site01,0,-0.2000000029802322,-0.0449322760105133
site01,0,-0.1000000014901161,-0.0493997558951377
site01,0,0.0,-0.0512820705771446
site01,0,0.1000000014901161,-0.0531525760889053
site01,0,0.2000000029802322,-0.0525079444050788
site01,0,0.3000000119209289,-0.0506796240806579
site01,0,0.4000000059604645,-0.0509400069713592
site01,0,0.5,-0.0499808862805366
site01,0,0.6000000238418579,-0.0538994073867797
site01,0,0.699999988079071,-0.060220643877983
site01,0,0.800000011920929,-0.0696066990494728
site01,0,0.8999999761581421,-0.0787406489253044
site01,0,1.0,-0.0878745838999748
site01,0,1.100000023841858,-0.0970085337758064
site01,0,1.2000000476837158,-0.1043690517544746
site01,0,1.2999999523162842,-0.1101071164011955
site01,0,1.399999976158142,-0.1132645085453987
site01,0,1.5,-0.116421915590763
site01,0,1.600000023841858,-0.1195793226361274
site01,0,1.7000000476837158,-0.1227366998791694
site01,0,1.7999999523162842,-0.1258940994739532
site01,0,1.899999976158142,-0.1290515065193176
site01,0,2.0,-0.1322088837623596
site01,0,2.0999999046325684,-0.1353663206100464
site01,0,2.200000047683716,-0.138523668050766
site01,0,2.299999952316284,-0.1416810750961303
site01,0,2.400000095367432,-0.1448384821414947
site01,0,2.5,-0.1479958891868591
site01,0,2.5999999046325684,-0.1511532515287399
site01,0,2.700000047683716,-0.1543106883764267
site01,0,2.799999952316284,-0.1574680358171463
site01,0,2.900000095367432,-0.1606254875659942
site01,0,3.0,-0.1637828350067138
site01,1,-3.0,-1.3106964826583862
site01,1,-2.900000095367432,-1.2671316862106323
site01,1,-2.799999952316284,-1.2235623598098757
site01,1,-2.700000047683716,-1.1797267198562622
site01,1,-2.5999999046325684,-1.1357818841934204
site01,1,-2.5,-1.0917935371398926
site01,1,-2.400000095367432,-1.0478051900863647
site01,1,-2.299999952316284,-1.003816843032837
site01,1,-2.200000047683716,-0.9598286747932434
site01,1,-2.0999999046325684,-0.9158403277397156
site01,1,-2.0,-0.8718519806861877
site01,1,-1.899999976158142,-0.8278636932373047
site01,1,-1.7999999523162842,-0.7838753461837769
site01,1,-1.7000000476837158,-0.7398871183395386
site01,1,-1.600000023841858,-0.6958987712860107
site01,1,-1.5,-0.6519104242324829
site01,1,-1.399999976158142,-0.6079220771789551
site01,1,-1.2999999523162842,-0.5668351650238037
site01,1,-1.2000000476837158,-0.5264594554901123
site01,1,-1.100000023841858,-0.4860723614692688
site01,1,-1.0,-0.4464293718338012
site01,1,-0.8999999761581421,-0.4060699641704559
site01,1,-0.800000011920929,-0.3643117547035217
site01,1,-0.699999988079071,-0.3247313201427459
site01,1,-0.6000000238418579,-0.2842114567756653
site01,1,-0.5,-0.242998868227005
site01,1,-0.4000000059604645,-0.2017863392829895
site01,1,-0.3000000119209289,-0.161994993686676
site01,1,-0.2000000029802322,-0.1226824298501014
site01,1,-0.1000000014901161,-0.061881385743618
site01,1,0.0,-0.0006230138242244
site01,1,0.1000000014901161,0.0531237907707691
site01,1,0.2000000029802322,0.1032122895121574
site01,1,0.3000000119209289,0.1408208310604095
site01,1,0.4000000059604645,0.1703437566757202
site01,1,0.5,0.1943841874599456
site01,1,0.6000000238418579,0.2104039788246154
site01,1,0.699999988079071,0.2278554141521453
site01,1,0.800000011920929,0.2461272776126861
site01,1,0.8999999761581421,0.2643991708755493
site01,1,1.0,0.2826710343360901
site01,1,1.100000023841858,0.3009434342384338
site01,1,1.2000000476837158,0.3192595243453979
site01,1,1.2999999523162842,0.3368681371212005
site01,1,1.399999976158142,0.353954404592514
site01,1,1.5,0.3695728182792663
site01,1,1.600000023841858,0.3849656581878662
site01,1,1.7000000476837158,0.400358498096466
site01,1,1.7999999523162842,0.4157513380050659
site01,1,1.899999976158142,0.4311441779136657
site01,1,2.0,0.4465370178222656
site01,1,2.0999999046325684,0.4619298875331878
site01,1,2.200000047683716,0.4773227274417877
site01,1,2.299999952316284,0.4927155971527099
site01,1,2.400000095367432,0.5081084370613098
site01,1,2.5,0.5235013365745544
site01,1,2.5999999046325684,0.5388941764831543
site01,1,2.700000047683716,0.5542870163917542
site01,1,2.799999952316284,0.569679856300354
site01,1,2.900000095367432,0.5850727558135986
site01,1,3.0,0.6004979014396667
site01,2,-3.0,-0.8495652079582214
site01,2,-2.900000095367432,-0.8207619786262512
site01,2,-2.799999952316284,-0.7919584512710571
site01,2,-2.700000047683716,-0.7631551027297974
site01,2,-2.5999999046325684,-0.7343516945838928
site01,2,-2.5,-0.7055169343948364
site01,2,-2.400000095367432,-0.6766372919082642
site01,2,-2.299999952316284,-0.6477572917938232
site01,2,-2.200000047683716,-0.6188775897026062
site01,2,-2.0999999046325684,-0.5899977087974548
site01,2,-2.0,-0.561122477054596
site01,2,-1.899999976158142,-0.5322588086128235
site01,2,-1.7999999523162842,-0.5033951997756958
site01,2,-1.7000000476837158,-0.4752263724803924
site01,2,-1.600000023841858,-0.4472182095050812
site01,2,-1.5,-0.4192099869251251
site01,2,-1.399999976158142,-0.3913091421127319
site01,2,-1.2999999523162842,-0.3642716109752655
site01,2,-1.2000000476837158,-0.3384739458560943
site01,2,-1.100000023841858,-0.312719851732254
site01,2,-1.0,-0.2870629727840423
site01,2,-0.8999999761581421,-0.2598148882389068
site01,2,-0.800000011920929,-0.2288558483123779
site01,2,-0.699999988079071,-0.1978967785835266
site01,2,-0.6000000238418579,-0.1669377088546753
site01,2,-0.5,-0.1354911476373672
site01,2,-0.4000000059604645,-0.1032017916440963
site01,2,-0.3000000119209289,-0.0716345012187957
site01,2,-0.2000000029802322,-0.0435212738811969
site01,2,-0.1000000014901161,-0.0162451229989528
site01,2,0.0,0.0229763649404048
site01,2,0.1000000014901161,0.0662671327590942
site01,2,0.2000000029802322,0.0987938493490219
site01,2,0.3000000119209289,0.1142734289169311
site01,2,0.4000000059604645,0.1277186423540115
site01,2,0.5,0.1387500613927841
site01,2,0.6000000238418579,0.1471365541219711
site01,2,0.699999988079071,0.1555230319499969
site01,2,0.800000011920929,0.1639095246791839
site01,2,0.8999999761581421,0.1722960174083709
site01,2,1.0,0.1806824803352356
site01,2,1.100000023841858,0.1889344006776809
site01,2,1.2000000476837158,0.1962469816207885
site01,2,1.2999999523162842,0.2032797485589981
site01,2,1.399999976158142,0.2103870511054992
site01,2,1.5,0.2174943834543228
site01,2,1.600000023841858,0.2246017158031463
site01,2,1.7000000476837158,0.2317090332508087
site01,2,1.7999999523162842,0.2388163357973098
site01,2,1.899999976158142,0.245923638343811
site01,2,2.0,0.2530309855937958
site01,2,2.0999999046325684,0.2601383030414581
site01,2,2.200000047683716,0.2672456204891205
site01,2,2.299999952316284,0.2743529081344604
site01,2,2.400000095367432,0.2814602851867676
site01,2,2.5,0.2885676026344299
site01,2,2.5999999046325684,0.2956748902797699
site01,2,2.700000047683716,0.3027844429016113
site01,2,2.799999952316284,0.3099105954170227
site01,2,2.900000095367432,0.3170366883277893
site01,2,3.0,0.3241628408432007
site01,3,-3.0,-0.7145926356315613
site01,3,-2.900000095367432,-0.6905529499053955
site01,3,-2.799999952316284,-0.6665132641792297
site01,3,-2.700000047683716,-0.642473578453064
site01,3,-2.5999999046325684,-0.6184338331222534
site01,3,-2.5,-0.5943941473960876
site01,3,-2.400000095367432,-0.5703545212745667
site01,3,-2.299999952316284,-0.5463147759437561
site01,3,-2.200000047683716,-0.5222750306129456
site01,3,-2.0999999046325684,-0.4982919692993164
site01,3,-2.0,-0.4745686650276184
site01,3,-1.899999976158142,-0.4513679146766662
site01,3,-1.7999999523162842,-0.4281717538833618
site01,3,-1.7000000476837158,-0.4049756526947021
site01,3,-1.600000023841858,-0.3817794919013977
site01,3,-1.5,-0.3585833609104156
site01,3,-1.399999976158142,-0.3363176882266998
site01,3,-1.2999999523162842,-0.3150111436843872
site01,3,-1.2000000476837158,-0.2937046885490417
site01,3,-1.100000023841858,-0.2723981738090515
site01,3,-1.0,-0.2510021328926086
site01,3,-0.8999999761581421,-0.2288844585418701
site01,3,-0.800000011920929,-0.2064000964164734
site01,3,-0.699999988079071,-0.1800082325935363
site01,3,-0.6000000238418579,-0.1536163687705993
site01,3,-0.5,-0.1272244751453399
site01,3,-0.4000000059604645,-0.1012046411633491
site01,3,-0.3000000119209289,-0.0748690292239189
site01,3,-0.2000000029802322,-0.0481578186154365
site01,3,-0.1000000014901161,-0.0205660238862037
site01,3,0.0,0.0079763010144233
site01,3,0.1000000014901161,0.0382775738835334
