site,round,stage,n_train,n_test,loss,mse,mae,r2,fs_r2
site01,0,global,1140,286,1.6837068796157837,1.6837068796157837,1.037143588066101,-0.2740817070007324,0.0217035588937736
site01,0,local,1140,286,1.2699891328811646,1.2699891328811646,0.8910674452781677,0.0389835834503173,0.0217035588937736
site01,1,global,1140,286,1.2276009321212769,1.2276009321212769,0.881859302520752,0.0710592865943908,0.0217035588937736
site01,1,local,1140,286,1.218228101730347,1.218228101730347,0.8754643797874451,0.0781518220901489,0.0217035588937736
site01,2,global,1140,286,1.2354092597961426,1.2354092597961426,0.8754247426986694,0.0651506185531616,0.0217035588937736
site01,2,local,1140,286,1.2273316383361816,1.2273316383361816,0.8735781311988831,0.0712630748748779,0.0217035588937736
site01,3,global,1140,286,1.2327286005020142,1.2327286005020142,0.8736526370048523,0.0671791434288024,0.0217035588937736
site01,3,local,1140,286,1.2331007719039917,1.2331007719039917,0.8732085227966309,0.0668975114822387,0.0217035588937736
site01,4,global,1140,286,1.2304993867874146,1.2304993867874146,0.8741133213043213,0.0688660144805908,0.0217035588937736
site01,4,local,1140,286,1.237871527671814,1.237871527671814,0.8734358549118042,0.0632874369621276,0.0217035588937736
site02,0,global,1888,473,1.6858826875686646,1.6858826875686646,1.056355357170105,-0.3549896478652954,0.092725156891254
site02,0,local,1888,473,1.1722862720489502,1.1722862720489502,0.8630064129829407,0.0578017234802246,0.092725156891254
site02,1,global,1888,473,1.157057762145996,1.157057762145996,0.8554180264472961,0.0700412392616272,0.092725156891254
site02,1,local,1888,473,1.1317847967147827,1.1317847967147827,0.8481091856956482,0.090353786945343,0.092725156891254
site02,2,global,1888,473,1.135949969291687,1.135949969291687,0.8473753333091736,0.0870062112808227,0.092725156891254
site02,2,local,1888,473,1.133233904838562,1.133233904838562,0.8473999500274658,0.0891891121864318,0.092725156891254
site02,3,global,1888,473,1.131640911102295,1.131640911102295,0.8462963700294495,0.0904694199562072,0.092725156891254
site02,3,local,1888,473,1.1292002201080322,1.1292002201080322,0.8467215895652771,0.0924311280250549,0.092725156891254
