site,round,stage,n_train,n_test,loss,mse,mae,r2,fs_r2
site01,0,global,1140,286,1.531843900680542,1.531843900680542,0.9707574248313904,-0.2350964546203613,0.0217035588937736
site01,0,local,1140,286,1.251552939414978,1.251552939414978,0.8880045413970947,-0.0091032981872558,0.0217035588937736
site01,1,global,1140,286,1.220123291015625,1.220123291015625,0.8854922652244568,0.0162379145622253,0.0217035588937736
site01,1,local,1140,286,1.2209951877593994,1.2209951877593994,0.8768861293792725,0.0155349373817443,0.0217035588937736
site01,2,global,1140,286,1.2263758182525637,1.2263758182525637,0.8792946338653564,0.0111966729164123,0.0217035588937736
site01,2,local,1140,286,1.2230373620986938,1.2230373620986938,0.8742231726646423,0.0138882994651794,0.0217035588937736
site01,3,global,1140,286,1.2256295680999756,1.2256295680999756,0.8764030337333679,0.0117982625961303,0.0217035588937736
site01,3,local,1140,286,1.2407433986663818,1.2407433986663818,0.8774446845054626,-0.0003876686096191,0.0217035588937736
site01,4,global,1140,286,1.2193018198013306,1.2193018198013306,0.876640796661377,0.0169001817703247,0.0217035588937736
site01,4,local,1140,286,1.2261152267456057,1.2261152267456057,0.8748258352279663,0.0114067196846008,0.0217035588937736
site02,0,global,1888,473,1.464686155319214,1.464686155319214,0.97260719537735,-0.2147063016891479,0.092725156891254
site02,0,local,1888,473,1.1804054975509644,1.1804054975509644,0.8670443892478943,0.0210558772087097,0.092725156891254
site02,1,global,1888,473,1.176052451133728,1.176052451133728,0.8646954298019409,0.0246659517288208,0.092725156891254
site02,1,local,1888,473,1.1512876749038696,1.1512876749038696,0.8582228422164917,0.0452041029930114,0.092725156891254
site02,2,global,1888,473,1.1474411487579346,1.1474411487579346,0.8534799814224243,0.0483940839767456,0.092725156891254
site02,2,local,1888,473,1.139867901802063,1.139867901802063,0.8499594330787659,0.0546748042106628,0.092725156891254
site02,3,global,1888,473,1.1406232118606567,1.1406232118606567,0.850066065788269,0.054048478603363,0.092725156891254
site02,3,local,1888,473,1.1362073421478271,1.1362073421478271,0.8512574434280396,0.0577106475830078,0.092725156891254
site02,4,global,1888,473,1.1457163095474243,1.1457163095474243,0.851540744304657,0.0498245954513549,0.092725156891254
site02,4,local,1888,473,1.1430885791778564,1.1430885791778564,0.8524006009101868,0.0520038604736328,0.092725156891254
site03,0,global,2784,696,1.5003873109817505,1.5003873109817505,0.9860216975212096,-0.1945046186447143,0.063061995104685
site03,0,local,2784,696,1.231040596961975,1.231040596961975,0.8890119791030884,0.0199305415153503,0.063061995104685
site03,1,global,2784,696,1.2359648942947388,1.2359648942947388,0.890306830406189,0.0160101652145385,0.063061995104685
site03,1,local,2784,696,1.239229440689087,1.239229440689087,0.8922384977340698,0.0134111046791076,0.063061995104685
site03,2,global,2784,696,1.2273541688919067,1.2273541688919067,0.886696994304657,0.0228654146194458,0.063061995104685
site03,2,local,2784,696,1.23659086227417,1.23659086227417,0.8902826309204102,0.0155118107795715,0.063061995104685
site03,3,global,2784,696,1.228250503540039,1.228250503540039,0.8886951804161072,0.02215176820755,0.063061995104685
site03,3,local,2784,696,1.2389564514160156,1.2389564514160156,0.8906004428863525,0.0136284232139587,0.063061995104685
site03,4,global,2784,696,1.2347735166549685,1.2347735166549685,0.8908281922340393,0.0169586539268493,0.063061995104685
site03,4,local,2784,696,1.2350952625274658,1.2350952625274658,0.8894843459129333,0.0167025327682495,0.063061995104685
