site,round,stage,n_train,n_test,loss,accuracy,precision,recall,f1,auc
site01,0,global,1140,286,0.6889370679855347,0.6643356643356644,0.3846153846153846,0.238095238095238,0.2941176470588235,0.5022395096652522
site01,0,local,1140,286,0.5968921184539795,0.7062937062937062,0.5,0.0357142857142857,0.0666666666666666,0.5720768505421971
site01,1,global,1140,286,0.5953827500343323,0.7097902097902098,1.0,0.0119047619047619,0.0235294117647058,0.5720768505421971
site01,1,local,1140,286,0.5952185988426208,0.7062937062937062,0.5,0.1547619047619047,0.2363636363636363,0.5697784064120698
site01,2,global,1140,286,0.5938832759857178,0.7167832167832168,1.0,0.0357142857142857,0.0689655172413793,0.5720768505421971
site01,2,local,1140,286,0.5929449200630188,0.7132867132867133,0.5714285714285714,0.0952380952380952,0.1632653061224489,0.5727251296558228
site01,3,global,1140,286,0.5924121737480164,0.7167832167832168,1.0,0.0357142857142857,0.0689655172413793,0.5825082508250826
site01,3,local,1140,286,0.591387152671814,0.7097902097902098,0.5454545454545454,0.0714285714285714,0.1263157894736842,0.5941772748703442
site01,4,global,1140,286,0.5929833054542542,0.7062937062937062,0.5,0.0357142857142857,0.0666666666666666,0.5788543140028288
site01,4,local,1140,286,0.5910531878471375,0.7132867132867133,0.625,0.0595238095238095,0.108695652173913,0.5889910419613389
site02,0,global,1888,473,0.6910518407821655,0.6236786469344608,0.303030303030303,0.2158273381294964,0.2521008403361344,0.4803989144014129
site02,0,local,1888,473,0.5973052382469177,0.7061310782241015,0.0,0.0,0.0,0.5756041873088356
site02,1,global,1888,473,0.5970240235328674,0.6976744186046512,0.0,0.0,0.0,0.5756041873088356
site02,1,local,1888,473,0.5969988107681274,0.6976744186046512,0.3333333333333333,0.0287769784172661,0.0529801324503311,0.5756041873088356
site02,2,global,1888,473,0.5976251363754272,0.6976744186046512,0.3333333333333333,0.0287769784172661,0.0529801324503311,0.5756041873088356
site02,2,local,1888,473,0.5974870920181274,0.7040169133192389,0.0,0.0,0.0,0.5756041873088356
site02,3,global,1888,473,0.5983309149742126,0.6955602536997886,0.3076923076923077,0.0287769784172661,0.0526315789473684,0.5774996769051824
site02,3,local,1888,473,0.5973092913627625,0.7040169133192389,0.0,0.0,0.0,0.5756041873088356
site02,4,global,1888,473,0.5987344980239868,0.6976744186046512,0.3571428571428571,0.0359712230215827,0.065359477124183,0.5770688838151036
site02,4,local,1888,473,0.5974268913269043,0.7040169133192389,0.0,0.0,0.0,0.5756041873088356
site03,0,global,2784,696,0.691794753074646,0.603448275862069,0.2756410256410256,0.2087378640776699,0.2375690607734806,0.4546512779869229
site03,0,local,2784,696,0.6033064723014832,0.6939655172413793,0.4615384615384615,0.203883495145631,0.2828282828282828,0.6049930651872399
site03,1,global,2784,696,0.5929149985313416,0.7068965517241379,1.0,0.0097087378640776,0.0192307692307692,0.6049930651872399
site03,1,local,2784,696,0.5934658050537109,0.7040229885057471,0.5,0.0388349514563106,0.072072072072072,0.6049930651872399
site03,2,global,2784,696,0.5919190645217896,0.7083333333333334,0.6666666666666666,0.029126213592233,0.055813953488372,0.6049930651872399
site03,2,local,2784,696,0.5957044363021851,0.6968390804597702,0.4242424242424242,0.0679611650485436,0.1171548117154811,0.6049930651872399
site03,3,global,2784,696,0.5926796197891235,0.7083333333333334,0.6666666666666666,0.029126213592233,0.055813953488372,0.5969090548840895
site03,3,local,2784,696,0.5944530367851257,0.7054597701149425,0.5454545454545454,0.029126213592233,0.0552995391705069,0.6049930651872399
site03,4,global,2784,696,0.5927162766456604,0.7054597701149425,0.5454545454545454,0.029126213592233,0.0552995391705069,0.5975133742817516
site03,4,local,2784,696,0.592950701713562,0.7054597701149425,0.5454545454545454,0.029126213592233,0.0552995391705069,0.6049930651872399
site04,0,global,3644,912,0.6910976767539978,0.5997807017543859,0.2731707317073171,0.2058823529411764,0.2348008385744235,0.466116153492647
site04,0,local,3644,912,0.5950086116790771,0.7116228070175439,0.6,0.0992647058823529,0.1703470031545741,0.6061925551470588
site04,1,global,3644,912,0.594429612159729,0.7039473684210527,0.6666666666666666,0.0147058823529411,0.0287769784172661,0.6064395680147059
site04,1,local,3644,912,0.596111536026001,0.7028508771929824,1.0,0.0036764705882352,0.0073260073260073,0.601510799632353
site04,2,global,3644,912,0.5932325124740601,0.7083333333333334,0.65,0.0477941176470588,0.0890410958904109,0.6064395680147059
site04,2,local,3644,912,0.5944185853004456,0.7116228070175439,0.5882352941176471,0.1102941176470588,0.1857585139318885,0.6019301470588235
site04,3,global,3644,912,0.5936838984489441,0.7083333333333334,0.65,0.0477941176470588,0.0890410958904109,0.603463924632353
site04,3,local,3644,912,0.5936282873153687,0.7072368421052632,0.5757575757575758,0.0698529411764705,0.1245901639344262,0.5965245863970589
site04,4,global,3644,912,0.5933967232704163,0.7083333333333334,0.6363636363636364,0.0514705882352941,0.0952380952380952,0.6039723115808824
site04,4,local,3644,912,0.5934601426124573,0.7083333333333334,0.65,0.0477941176470588,0.0890410958904109,0.6025103400735294
site05,0,global,3704,927,0.6918947100639343,0.5943905070118662,0.225130890052356,0.1586715867158671,0.1861471861471861,0.420830145801458
site05,0,local,3704,927,0.591799259185791,0.7022653721682848,0.4358974358974359,0.062730627306273,0.1096774193548387,0.6145655206552066
site05,1,global,3704,927,0.5928345918655396,0.7044228694714132,0.2857142857142857,0.007380073800738,0.014388489208633,0.6145655206552066
site05,1,local,3704,927,0.5972078442573547,0.7022653721682848,0.4358974358974359,0.062730627306273,0.1096774193548387,0.614559895598956
site05,2,global,3704,927,0.5921606421470642,0.7055016181229773,0.4375,0.025830258302583,0.048780487804878,0.6145655206552066
site05,2,local,3704,927,0.5905705094337463,0.7044228694714132,0.2857142857142857,0.007380073800738,0.014388489208633,0.6145655206552066
site05,3,global,3704,927,0.5932380557060242,0.7055016181229773,0.4375,0.025830258302583,0.048780487804878,0.6166102286022861
site05,3,local,3704,927,0.5909973978996277,0.7076591154261057,0.0,0.0,0.0,0.6145852083520835
site05,4,global,3704,927,0.593035101890564,0.7011866235167206,0.35,0.025830258302583,0.0481099656357388,0.6165146026460265
site05,4,local,3704,927,0.5913349986076355,0.6957928802588996,0.3225806451612903,0.03690036900369,0.0662251655629139,0.6145683331833318
site06,0,global,4503,1126,0.6900973916053772,0.6181172291296625,0.3097345132743362,0.2034883720930232,0.2456140350877192,0.5016988342354131
site06,0,local,4503,1126,0.6156075596809387,0.6936056838365897,0.4871794871794871,0.0552325581395348,0.0992167101827676,0.5436046511627907
site06,1,global,4503,1126,0.6122155785560608,0.6989342806394316,0.7777777777777778,0.0203488372093023,0.0396600566572237,0.5436046511627907
