site,round,stage,n_train,n_test,loss,mse,mae,r2
site01,0,global,1140,286,1.501633644104004,1.501633644104004,0.9565556645393372,-0.1041586399078369
site01,0,local,1140,286,1.241300344467163,1.241300344467163,0.8766127228736877,0.0872657299041748
site01,1,global,1140,286,1.2270126342773438,1.2270126342773438,0.8799906373023987,0.0977715849876403
site01,1,local,1140,286,1.2227458953857422,1.2227458953857422,0.8769432902336121,0.1009089350700378
site01,2,global,1140,286,1.2377735376358032,1.2377735376358032,0.8777271509170532,0.0898590087890625
site01,2,local,1140,286,1.2328664064407349,1.2328664064407349,0.8776045441627502,0.0934672355651855
site01,3,global,1140,286,1.2358968257904053,1.2358968257904053,0.8778475522994995,0.0912389755249023
site01,3,local,1140,286,1.2468236684799194,1.2468236684799194,0.8792234063148499,0.083204448223114
site01,4,global,1140,286,1.2300074100494385,1.2300074100494385,0.8795281052589417,0.0955695509910583
site01,4,local,1140,286,1.2294594049453735,1.2294594049453735,0.8760998249053955,0.0959724187850952
site02,0,global,1888,473,1.3399354219436646,1.3399354219436646,0.9335078597068788,-0.0216200351715087
site02,0,local,1888,473,1.14792799949646,1.14792799949646,0.8523754477500916,0.1247740387916565
site02,1,global,1888,473,1.1553667783737185,1.1553667783737185,0.8548370599746704,0.1191024780273437
site02,1,local,1888,473,1.1345932483673096,1.1345932483673096,0.8496125936508179,0.1349410414695739
site02,2,global,1888,473,1.1404634714126587,1.1404634714126587,0.8496931195259094,0.1304653286933899
site02,2,local,1888,473,1.140393614768982,1.140393614768982,0.8502833843231201,0.1305185556411743
site02,3,global,1888,473,1.139245629310608,1.139245629310608,0.8496088981628418,0.1313939094543457
site02,3,local,1888,473,1.1334803104400637,1.1334803104400637,0.8493830561637878,0.1357895731925964
site02,4,global,1888,473,1.1473631858825684,1.1473631858825684,0.8520923256874084,0.1252047419548034
site02,4,local,1888,473,1.1402667760849,1.1402667760849,0.8496273159980774,0.1306152939796447
site03,0,global,2784,696,1.434455156326294,1.434455156326294,0.9588102102279664,-0.0334270000457763
site03,0,local,2784,696,1.2255067825317385,1.2255067825317385,0.8859225511550903,0.117106020450592
site03,1,global,2784,696,1.2351738214492798,1.2351738214492798,0.890730082988739,0.110141634941101
site03,1,local,2784,696,1.2377493381500244,1.2377493381500244,0.8921301960945129,0.1082860827445983
site03,2,global,2784,696,1.228005051612854,1.228005051612854,0.8878341317176819,0.1153061985969543
site03,2,local,2784,696,1.2316687107086182,1.2316687107086182,0.8894528746604919,0.1126667857170105
site03,3,global,2784,696,1.2286250591278076,1.2286250591278076,0.8889886140823364,0.1148595213890075
site03,3,local,2784,696,1.2304950952529907,1.2304950952529907,0.8870331048965454,0.1135123372077941
site03,4,global,2784,696,1.2327951192855835,1.2327951192855835,0.8907666206359863,0.1118553280830383
site03,4,local,2784,696,1.2361541986465454,1.2361541986465454,0.8908252716064453,0.1094353795051574
site04,0,global,3644,912,1.358271837234497,1.358271837234497,0.933897078037262,-0.0355439186096191
site04,0,local,3644,912,1.1543434858322144,1.1543434858322144,0.854578971862793,0.1199306845664978
site04,1,global,3644,912,1.1527862548828125,1.1527862548828125,0.8529450297355652,0.121117889881134
site04,1,local,3644,912,1.1554615497589111,1.1554615497589111,0.853182315826416,0.1190782785415649
site04,2,global,3644,912,1.1442207098007202,1.1442207098007202,0.8496670722961426,0.1276482343673706
site04,2,local,3644,912,1.1693546772003174,1.1693546772003174,0.8609606027603149,0.1084861755371093
site04,3,global,3644,912,1.144776463508606,1.144776463508606,0.8501364588737488,0.1272245049476623
site04,3,local,3644,912,1.147303581237793,1.147303581237793,0.8504878282546997,0.1252979040145874
site04,4,global,3644,912,1.1491379737854004,1.1491379737854004,0.8515524864196777,0.1238993406295776
site04,4,local,3644,912,1.163455843925476,1.163455843925476,0.8579586148262024,0.1129833459854126
site05,0,global,3704,927,1.356429934501648,1.356429934501648,0.9315261244773864,-0.0520975589752197
site05,0,local,3704,927,1.1200777292251587,1.1200777292251587,0.8439562320709229,0.1312260627746582
site05,1,global,3704,927,1.114507079124451,1.114507079124451,0.8414508700370789,0.1355468034744262
site05,1,local,3704,927,1.1250940561294556,1.1250940561294556,0.8446093797683716,0.1273351907730102
site05,2,global,3704,927,1.1076971292495728,1.1076971292495728,0.8384027481079102,0.1408289074897766
site05,2,local,3704,927,1.1136239767074585,1.1136239767074585,0.8388689160346985,0.136231780052185
