site,round,x,f
site01,0,-3.0,0.0596135705709457
site01,0,-2.900000095367432,0.0503370910882949
site01,0,-2.799999952316284,0.041060522198677
site01,0,-2.700000047683716,0.0317839980125427
site01,0,-2.5999999046325684,0.022507444024086
site01,0,-2.5,0.0132309645414352
site01,0,-2.400000095367432,0.0039544105529785
site01,0,-2.299999952316284,-0.004731997847557
site01,0,-2.200000047683716,-0.0129950195550918
site01,0,-2.0999999046325684,-0.0212580412626266
site01,0,-2.0,-0.0295210033655166
site01,0,-1.899999976158142,-0.0377839505672454
site01,0,-1.7999999523162842,-0.0460469871759414
site01,0,-1.7000000476837158,-0.0543100088834762
site01,0,-1.600000023841858,-0.0624185353517532
site01,0,-1.5,-0.0684556663036346
site01,0,-1.399999976158142,-0.0737610459327697
site01,0,-1.2999999523162842,-0.0740473121404647
site01,0,-1.2000000476837158,-0.0722977370023727
site01,0,-1.100000023841858,-0.0693392902612686
site01,0,-1.0,-0.066510833799839
site01,0,-0.8999999761581421,-0.0670556277036666
site01,0,-0.800000011920929,-0.0610497295856475
site01,0,-0.699999988079071,-0.0561082884669303
site01,0,-0.6000000238418579,-0.054090104997158
site01,0,-0.5,-0.0522167533636093
site01,0,-0.4000000059604645,-0.0548607856035232
site01,0,-0.3000000119209289,-0.0617886111140251
site01,0,-0.2000000029802322,-0.0684396848082542
site01,0,-0.1000000014901161,-0.0741941779851913
site01,0,0.0,-0.0798671692609787
site01,0,0.1000000014901161,-0.0841961503028869
site01,0,0.2000000029802322,-0.0891017094254493
site01,0,0.3000000119209289,-0.0987240076065063
site01,0,0.4000000059604645,-0.1156677603721618
site01,0,0.5,-0.1328286826610565
site01,0,0.6000000238418579,-0.1445854604244232
site01,0,0.699999988079071,-0.1490294188261032
site01,0,0.800000011920929,-0.1453978717327118
site01,0,0.8999999761581421,-0.1414318531751632
site01,0,1.0,-0.1358924508094787
site01,0,1.100000023841858,-0.1270718723535537
site01,0,1.2000000476837158,-0.1179936826229095
site01,0,1.2999999523162842,-0.1092524453997612
site01,0,1.399999976158142,-0.1007536500692367
site01,0,1.5,-0.0925032272934913
site01,0,1.600000023841858,-0.0844263806939125
site01,0,1.7000000476837158,-0.0764211788773536
site01,0,1.7999999523162842,-0.0707200840115547
site01,0,1.899999976158142,-0.0655037239193916
site01,0,2.0,-0.0602873116731643
site01,0,2.0999999046325684,-0.0560434013605117
site01,0,2.200000047683716,-0.0520193427801132
site01,0,2.299999952316284,-0.0479953438043594
site01,0,2.400000095367432,-0.0439713150262832
site01,0,2.5,-0.0399472415447235
site01,0,2.5999999046325684,-0.0359231829643249
site01,0,2.700000047683716,-0.0318991988897323
site01,0,2.799999952316284,-0.0278340131044387
site01,0,2.900000095367432,-0.0237211436033248
site01,0,3.0,-0.0196082890033721
site01,1,-3.0,-1.1951241493225098
site01,1,-2.900000095367432,-1.1895296573638916
site01,1,-2.799999952316284,-1.1839351654052734
site01,1,-2.700000047683716,-1.1783406734466553
site01,1,-2.5999999046325684,-1.1727463006973269
site01,1,-2.5,-1.1671518087387085
site01,1,-2.400000095367432,-1.1622211933135986
site01,1,-2.299999952316284,-1.1574233770370483
site01,1,-2.200000047683716,-1.1526256799697876
site01,1,-2.0999999046325684,-1.1478278636932373
site01,1,-2.0,-1.1430301666259766
site01,1,-1.899999976158142,-1.1382322311401367
site01,1,-1.7999999523162842,-1.1316826343536377
site01,1,-1.7000000476837158,-1.1245338916778564
site01,1,-1.600000023841858,-1.1196823120117188
site01,1,-1.5,-1.1192374229431152
site01,1,-1.399999976158142,-1.1196670532226562
