site,round,stage,n_train,n_test,loss,accuracy,precision,recall,f1,auc
site01,0,global,1140,286,0.6610003709793091,0.7062937062937062,0.0,0.0,0.0,0.5554573314474306
site01,0,local,1140,286,0.6038058996200562,0.7062937062937062,0.5,0.0357142857142857,0.0666666666666666,0.5720768505421971
site01,1,global,1140,286,0.5931932330131531,0.7062937062937062,0.5,0.0357142857142857,0.0666666666666666,0.5753771805752004
site01,1,local,1140,286,0.5906654596328735,0.7097902097902098,0.5555555555555556,0.0595238095238095,0.1075268817204301,0.5966525223950966
site01,2,global,1140,286,0.5929145812988281,0.7062937062937062,0.5,0.0357142857142857,0.0666666666666666,0.5786775106082037
site01,2,local,1140,286,0.5908367037773132,0.7132867132867133,0.5714285714285714,0.0952380952380952,0.1632653061224489,0.5937647336162188
site01,3,global,1140,286,0.5916824340820312,0.7062937062937062,0.5,0.0357142857142857,0.0666666666666666,0.5916430928807167
site01,3,local,1140,286,0.5904386639595032,0.7062937062937062,0.5,0.0595238095238095,0.1063829787234042,0.5970061291843469
site01,4,global,1140,286,0.5924293398857117,0.7062937062937062,0.5,0.0357142857142857,0.0666666666666666,0.5809170202734559
site01,4,local,1140,286,0.5909017324447632,0.7062937062937062,0.5,0.0357142857142857,0.0666666666666666,0.5902286657237152
site02,0,global,1888,473,0.6582501530647278,0.7061310782241015,0.0,0.0,0.0,0.5707362253909447
site02,0,local,1888,473,0.6013515591621399,0.6976744186046512,0.3333333333333333,0.0287769784172661,0.0529801324503311,0.5756041873088356
site02,1,global,1888,473,0.59721839427948,0.6976744186046512,0.3571428571428571,0.0359712230215827,0.065359477124183,0.5783828027398441
site02,1,local,1888,473,0.5988849401473999,0.6976744186046512,0.3571428571428571,0.0359712230215827,0.065359477124183,0.5756041873088356
site02,2,global,1888,473,0.5978111624717712,0.6976744186046512,0.3571428571428571,0.0359712230215827,0.065359477124183,0.5779520096497652
site02,2,local,1888,473,0.5961288809776306,0.7040169133192389,0.0,0.0,0.0,0.5782966441218282
site02,3,global,1888,473,0.5977344512939453,0.6976744186046512,0.3571428571428571,0.0359712230215827,0.065359477124183,0.5792443889200017
site02,3,local,1888,473,0.5977214574813843,0.6976744186046512,0.3571428571428571,0.0359712230215827,0.065359477124183,0.5756041873088356
site02,4,global,1888,473,0.5983524918556213,0.6976744186046512,0.375,0.0431654676258992,0.0774193548387096,0.578748976866411
site02,4,local,1888,473,0.5970016121864319,0.6976744186046512,0.1666666666666666,0.0071942446043165,0.0137931034482758,0.5756041873088356
site03,0,global,2784,696,0.6561052799224854,0.7040229885057471,0.0,0.0,0.0,0.6021497919556171
site03,0,local,2784,696,0.5938979387283325,0.7054597701149425,0.5454545454545454,0.029126213592233,0.0552995391705069,0.5997523281157123
site03,1,global,2784,696,0.5929986834526062,0.7068965517241379,0.5833333333333334,0.0339805825242718,0.0642201834862385,0.598791361204676
site03,1,local,2784,696,0.5948924422264099,0.7054597701149425,0.5454545454545454,0.029126213592233,0.0552995391705069,0.6049930651872399
site03,2,global,2784,696,0.5935819149017334,0.7011494252873564,0.4545454545454545,0.0485436893203883,0.087719298245614,0.5976223499108381
site03,2,local,2784,696,0.5939126014709473,0.7068965517241379,0.5833333333333334,0.0339805825242718,0.0642201834862385,0.6022587675847038
site03,3,global,2784,696,0.5940101146697998,0.7054597701149425,0.5384615384615384,0.0339805825242718,0.0639269406392694,0.594907866059045
site03,3,local,2784,696,0.5959437489509583,0.7054597701149425,0.5333333333333333,0.0388349514563106,0.0723981900452488,0.598167228056271
site03,4,global,2784,696,0.5933789610862732,0.6954022988505747,0.3846153846153846,0.0485436893203883,0.0862068965517241,0.5964929661184862
site03,4,local,2784,696,0.5946579575538635,0.7054597701149425,0.5454545454545454,0.029126213592233,0.0552995391705069,0.5997424212403407
site04,0,global,3644,912,0.6575626134872437,0.7017543859649122,0.0,0.0,0.0,0.5934771369485294
site04,0,local,3644,912,0.5933474898338318,0.7072368421052632,0.6190476190476191,0.0477941176470588,0.0887372013651877,0.6021656709558824
site04,1,global,3644,912,0.5930825471878052,0.7072368421052632,0.6,0.0551470588235294,0.101010101010101,0.6045209099264706
site04,1,local,3644,912,0.5945828557014465,0.7083333333333334,0.65,0.0477941176470588,0.0890410958904109,0.5933191636029412
site04,2,global,3644,912,0.5927752256393433,0.706140350877193,0.5555555555555556,0.0735294117647058,0.1298701298701298,0.604342830882353
site04,2,local,3644,912,0.5979357361793518,0.7072368421052632,0.6,0.0551470588235294,0.101010101010101,0.5849379595588236
site04,3,global,3644,912,0.593235969543457,0.7072368421052632,0.6,0.0551470588235294,0.101010101010101,0.6015222886029412
site04,3,local,3644,912,0.5934301018714905,0.7072368421052632,0.5675675675675675,0.0772058823529411,0.1359223300970873,0.6015567555147059
site04,4,global,3644,912,0.5924623012542725,0.7083333333333334,0.5789473684210527,0.0808823529411764,0.1419354838709677,0.6035098805147059
site04,4,local,3644,912,0.592759370803833,0.7083333333333334,0.5714285714285714,0.088235294117647,0.1528662420382165,0.5987591911764706
site05,0,global,3704,927,0.656196117401123,0.7076591154261057,0.0,0.0,0.0,0.6099164116641167
site05,0,local,3704,927,0.5929190516471863,0.7044228694714132,0.2857142857142857,0.007380073800738,0.014388489208633,0.6145683331833318
site05,1,global,3704,927,0.592339277267456,0.697950377562028,0.32,0.029520295202952,0.054054054054054,0.6158424084240842
site05,1,local,3704,927,0.5923776626586914,0.703344120819849,0.45,0.066420664206642,0.1157556270096463,0.6140930159301593
site05,2,global,3704,927,0.5926116108894348,0.6968716289104638,0.34375,0.040590405904059,0.0726072607260726,0.6158536585365854
site05,2,local,3704,927,0.591956615447998,0.6990291262135923,0.3333333333333333,0.029520295202952,0.0542372881355932,0.614419269192692
site05,3,global,3704,927,0.5928863286972046,0.6968716289104638,0.3076923076923077,0.029520295202952,0.0538720538720538,0.6150520880208802
site05,3,local,3704,927,0.5914967060089111,0.6947141316073355,0.3,0.033210332103321,0.0598006644518272,0.6145655206552066
site05,4,global,3704,927,0.5925272703170776,0.7011866235167206,0.4210526315789473,0.059040590405904,0.1035598705501618,0.6153389658896589
site05,4,local,3704,927,0.5926704406738281,0.6990291262135923,0.4166666666666667,0.07380073800738,0.1253918495297805,0.6145655206552066
site06,0,global,4503,1126,0.6622921824455261,0.69449378330373,0.0,0.0,0.0,0.5365565336346874
site06,0,local,4503,1126,0.6157207489013672,0.6882770870337478,0.4477611940298507,0.0872093023255814,0.145985401459854,0.550399988104443
site06,1,global,4503,1126,0.6126397848129272,0.6936056838365897,0.4827586206896552,0.0406976744186046,0.0750670241286863,0.5478944864093261
site06,1,local,4503,1126,0.6183971166610718,0.69449378330373,0.5,0.0581395348837209,0.1041666666666666,0.5436715636709688
site06,2,global,4503,1126,0.6126366853713989,0.6936056838365897,0.4871794871794871,0.0552325581395348,0.0992167101827676,0.5480283114256825
site06,2,local,4503,1126,0.6140358448028564,0.6953818827708703,0.5151515151515151,0.0494186046511627,0.0901856763925729,0.5512066555641468
site06,3,global,4503,1126,0.6120136380195618,0.69449378330373,0.5,0.0436046511627907,0.0802139037433155,0.550775441622554
site06,3,local,4503,1126,0.6150218844413757,0.69449378330373,0.5,0.0581395348837209,0.1041666666666666,0.5478164218164515
site06,4,global,4503,1126,0.6130658388137817,0.6927175843694494,0.4772727272727273,0.0610465116279069,0.1082474226804123,0.5491546719800154
site06,4,local,4503,1126,0.6144992113113403,0.6882770870337478,0.4444444444444444,0.0813953488372093,0.1375921375921376,0.5520839528935941
site07,0,global,5712,1429,0.6599634289741516,0.6969909027291813,0.0,0.0,0.0,0.5545020729569548
site07,0,local,5712,1429,0.6096579432487488,0.6969909027291813,0.5,0.0161662817551963,0.0313199105145413,0.5597354777075971
site07,1,global,5712,1429,0.6098283529281616,0.6990902729181245,0.5428571428571428,0.0438799076212471,0.0811965811965812,0.561784087852565
site07,1,local,5712,1429,0.6098421812057495,0.6976906927921623,0.5135135135135135,0.0438799076212471,0.0808510638297872,0.560642106532365
site07,2,global,5712,1429,0.6102356910705566,0.6948915325402379,0.4705882352941176,0.0554272517321016,0.0991735537190082,0.5610988990604451
site07,2,local,5712,1429,0.6118365526199341,0.695591322603219,0.4583333333333333,0.0254041570438799,0.0481400437636761,0.5616553975718115
site07,3,global,5712,1429,0.6101380586624146,0.6990902729181245,0.5428571428571428,0.0438799076212471,0.0811965811965812,0.559992858269104
site07,3,local,5712,1429,0.612129807472229,0.6906927921623512,0.4307692307692308,0.0646651270207852,0.1124497991967871,0.5616553975718115
site07,4,global,5712,1429,0.610906183719635,0.6927921623512946,0.45,0.0623556581986143,0.1095334685598377,0.5611684613743658
site07,4,local,5712,1429,0.6137523651123047,0.695591322603219,0.4807692307692308,0.0577367205542725,0.1030927835051546,0.5616553975718115
site08,0,global,6523,1631,0.6597984433174133,0.6995708154506438,0.0,0.0,0.0,0.5637544939097462
site08,0,local,6523,1631,0.6038012504577637,0.6983445738810545,0.4814814814814814,0.0530612244897959,0.0955882352941176,0.574180364520918
site08,1,global,6523,1631,0.6010826230049133,0.6983445738810545,0.4736842105263157,0.036734693877551,0.0681818181818181,0.5756452449516178
site08,1,local,6523,1631,0.6021602153778076,0.6971183323114654,0.4761904761904761,0.0816326530612244,0.1393728222996515,0.5800837074531828
site08,2,global,6523,1631,0.601266622543335,0.6989576946658492,0.4909090909090909,0.0551020408163265,0.0990825688073394,0.5762220751578457
site08,2,local,6523,1631,0.6027860045433044,0.6971183323114654,0.4803921568627451,0.1,0.1655405405405405,0.5778389883560786
site08,3,global,6523,1631,0.6011577248573303,0.6995708154506438,0.5,0.0408163265306122,0.0754716981132075,0.5794746820726537
site08,3,local,6523,1631,0.602454423904419,0.7014101778050276,0.5164835164835165,0.0959183673469387,0.1617900172117039,0.5820127349800569
site08,4,global,6523,1631,0.6014940738677979,0.6995708154506438,0.5,0.0632653061224489,0.1123188405797101,0.5768257346759914
site08,4,local,6523,1631,0.6057171821594238,0.6965052115266708,0.4691358024691358,0.0775510204081632,0.1330998248686515,0.5768650843334705
site09,0,global,6739,1685,0.6591220498085022,0.6985163204747774,0.0,0.0,0.0,0.5526662608125557
site09,0,local,6739,1685,0.6061398983001709,0.6985163204747774,0.0,0.0,0.0,0.5514813117561664
site09,1,global,6739,1685,0.6043749451637268,0.7056379821958457,0.6304347826086957,0.0570866141732283,0.1046931407942238,0.5574562313100837
site09,1,local,6739,1685,0.6047069430351257,0.7044510385756677,0.6785714285714286,0.0374015748031496,0.0708955223880597,0.5555220131255896
site09,2,global,6739,1685,0.6041394472122192,0.7050445103857567,0.5873015873015873,0.0728346456692913,0.1295971978984238,0.5564945577639668
site09,2,local,6739,1685,0.6043775677680969,0.7014836795252225,0.7272727272727273,0.0157480314960629,0.0308285163776493,0.5496457696398825
site09,3,global,6739,1685,0.6042453050613403,0.7062314540059347,0.6382978723404256,0.0590551181102362,0.1081081081081081,0.5540970638016043
site09,3,local,6739,1685,0.6035313010215759,0.7038575667655786,0.6216216216216216,0.0452755905511811,0.0844036697247706,0.55303169676008
site09,4,global,6739,1685,0.6046144366264343,0.7050445103857567,0.5797101449275363,0.0787401574803149,0.1386481802426343,0.5560212471317042
site09,4,local,6739,1685,0.6053286194801331,0.7056379821958457,0.7307692307692307,0.0374015748031496,0.0711610486891385,0.5498548291064296
site10,0,global,7504,1876,0.6606495976448059,0.6950959488272921,0.0,0.0,0.0,0.5666259545669055
site10,0,local,7504,1876,0.6017080545425415,0.6993603411513859,0.5344827586206896,0.1083916083916083,0.1802325581395348,0.583035254622678
site10,1,global,7504,1876,0.6009978652000427,0.7062899786780383,0.6909090909090909,0.0664335664335664,0.1212121212121212,0.5843625316401391
site10,1,local,7504,1876,0.6009365320205688,0.7041577825159915,0.639344262295082,0.0681818181818181,0.1232227488151658,0.5849229374919559
site10,2,global,7504,1876,0.6005828976631165,0.7046908315565032,0.625,0.0786713286713286,0.139751552795031,0.5851528647732636
site10,2,local,7504,1876,0.6012227535247803,0.7057569296375267,0.6785714285714286,0.0664335664335664,0.1210191082802547,0.5909238384315071
site10,3,global,7504,1876,0.6004359722137451,0.7062899786780383,0.6909090909090909,0.0664335664335664,0.1212121212121212,0.5874916877600926
site10,3,local,7504,1876,0.6009923219680786,0.6988272921108742,0.5304347826086957,0.1066433566433566,0.1775836972343522,0.5867838066841135
site10,4,global,7504,1876,0.6003759503364563,0.7041577825159915,0.6024096385542169,0.0874125874125874,0.1526717557251908,0.5857219850701445
site10,4,local,7504,1876,0.6004567742347717,0.7046908315565032,0.640625,0.0716783216783216,0.1289308176100629,0.5893572493457464
