site,round,stage,n_train,n_test,loss,c_index,events
site01,0,global,342,86,4.408373355865479,0.5349397590361445,5.0
site01,0,local,342,86,4.443739414215088,0.491566265060241,5.0
site01,1,global,342,86,4.609906196594238,0.491566265060241,5.0
site01,1,local,342,86,4.456937313079834,0.491566265060241,5.0
site01,2,global,342,86,4.552761077880859,0.491566265060241,5.0
site01,2,local,342,86,4.469171047210693,0.491566265060241,5.0
site01,3,global,342,86,4.574528217315674,0.491566265060241,5.0
site01,3,local,342,86,4.472012519836426,0.491566265060241,5.0
site01,4,global,342,86,4.567780494689941,0.491566265060241,5.0
site01,4,local,342,86,4.4667487144470215,0.491566265060241,5.0
site02,0,global,566,142,4.922290325164795,0.5669064748201439,5.0
site02,0,local,566,142,4.782747268676758,0.6215827338129496,5.0
site02,1,global,566,142,4.790371417999268,0.6215827338129496,5.0
site02,1,local,566,142,4.7882184982299805,0.6215827338129496,5.0
site02,2,global,566,142,4.8003339767456055,0.6215827338129496,5.0
site02,2,local,566,142,4.77051305770874,0.6215827338129496,5.0
site02,3,global,566,142,4.795622825622559,0.6215827338129496,5.0
site02,3,local,566,142,4.794254779815674,0.6215827338129496,5.0
site02,4,global,566,142,4.802886009216309,0.6215827338129496,5.0
site02,4,local,566,142,4.787938117980957,0.6215827338129496,5.0
site03,0,global,835,209,5.274382591247559,0.7603485838779956,9.0
site03,0,local,835,209,4.97242546081543,0.7494553376906318,9.0
site03,1,global,835,209,5.0080413818359375,0.7494553376906318,9.0
site03,1,local,835,209,4.961386680603027,0.7494553376906318,9.0
site03,2,global,835,209,5.050974845886231,0.7494553376906318,9.0
site03,2,local,835,209,4.979382991790772,0.7494553376906318,9.0
site03,3,global,835,209,5.035903453826904,0.7494553376906318,9.0
site03,3,local,835,209,4.965973854064941,0.7494553376906318,9.0
site03,4,global,835,209,5.045038223266602,0.7494553376906318,9.0
site03,4,local,835,209,4.969669342041016,0.7494553376906318,9.0
site04,0,global,1093,274,5.5900654792785645,0.5009310986964618,10.0
site04,0,local,1093,274,5.855057716369629,0.4864059590316573,10.0
site04,1,global,1093,274,5.748446464538574,0.4864059590316573,10.0
site04,1,local,1093,274,5.750334739685059,0.4864059590316573,10.0
site04,2,global,1093,274,5.698391914367676,0.4864059590316573,10.0
site04,2,local,1093,274,5.647452831268311,0.4864059590316573,10.0
site04,3,global,1093,274,5.721617221832275,0.4864059590316573,10.0
site04,3,local,1093,274,5.63425350189209,0.4864059590316573,10.0
site04,4,global,1093,274,5.710710048675537,0.4864059590316573,10.0
site04,4,local,1093,274,5.592859745025635,0.4864059590316573,10.0
site05,0,global,1111,278,5.57282304763794,0.7456247456247457,9.0
site05,0,local,1111,278,5.291114807128906,0.737077737077737,9.0
site05,1,global,1111,278,5.355691909790039,0.737077737077737,9.0
site05,1,local,1111,278,5.335072994232178,0.737077737077737,9.0
site05,2,global,1111,278,5.39030647277832,0.737077737077737,9.0
site05,2,local,1111,278,5.282096862792969,0.737077737077737,9.0
site05,3,global,1111,278,5.378973007202148,0.737077737077737,9.0
site05,3,local,1111,278,5.300268173217773,0.737077737077737,9.0
site05,4,global,1111,278,5.385048389434815,0.737077737077737,9.0
site05,4,local,1111,278,5.288211822509766,0.737077737077737,9.0
site06,0,global,1351,338,5.795665264129639,0.5789928679489951,14.0
site06,0,local,1351,338,5.931565284729004,0.540090771558245,14.0
site06,1,global,1351,338,5.894046306610107,0.540090771558245,14.0
site06,1,local,1351,338,5.88214635848999,0.540090771558245,14.0
site06,2,global,1351,338,5.862675666809082,0.540090771558245,14.0
site06,2,local,1351,338,5.9095845222473145,0.540090771558245,14.0
site06,3,global,1351,338,5.874594211578369,0.540090771558245,14.0
site06,3,local,1351,338,5.925883769989014,0.540090771558245,14.0
site06,4,global,1351,338,5.868943691253662,0.540090771558245,14.0
site06,4,local,1351,338,5.883126735687256,0.540090771558245,14.0
site07,0,global,1714,429,6.017844200134277,0.6437633463132773,19.0
site07,0,local,1714,429,5.918374538421631,0.6632332621529958,19.0
site07,1,global,1714,429,5.905785083770752,0.6632332621529958,19.0
site07,1,local,1714,429,5.915617942810059,0.6632332621529958,19.0
site07,2,global,1714,429,5.912862777709961,0.6632332621529958,19.0
site07,2,local,1714,429,5.905760765075684,0.6632332621529958,19.0
site07,3,global,1714,429,5.912282466888428,0.6632332621529958,19.0
site07,3,local,1714,429,5.898046493530273,0.6632332621529958,19.0
site07,4,global,1714,429,5.917090892791748,0.6632332621529958,19.0
site07,4,local,1714,429,5.890228271484375,0.6632332621529958,19.0
site08,0,global,1957,490,6.123690605163574,0.7492268510096416,23.0
site08,0,local,1957,490,5.697879314422607,0.7987993450973259,23.0
site08,1,global,1957,490,5.734035968780518,0.7987993450973259,23.0
site08,1,local,1957,490,5.7244791984558105,0.7987993450973259,23.0
site08,2,global,1957,490,5.791698932647705,0.7987993450973259,23.0
site08,2,local,1957,490,5.791714668273926,0.7987993450973259,23.0
site08,3,global,1957,490,5.761520862579346,0.7987993450973259,23.0
site08,3,local,1957,490,5.748775959014893,0.7987993450973259,23.0
site08,4,global,1957,490,5.777121067047119,0.7987993450973259,23.0
site08,4,local,1957,490,5.8427815437316895,0.7987993450973259,23.0
site09,0,global,2021,506,6.205380439758301,0.50017602534765,23.0
site09,0,local,2021,506,6.216803550720215,0.5069530012321775,23.0
site09,1,global,2021,506,6.311336994171143,0.5110015842281288,23.0
site09,1,local,2021,506,6.21018648147583,0.5110015842281288,23.0
site09,2,global,2021,506,6.272525787353516,0.5110015842281288,23.0
site09,2,local,2021,506,6.212702751159668,0.4807252244323182,23.0
site09,3,global,2021,506,6.283123016357422,0.5110015842281288,23.0
site09,3,local,2021,506,6.210525989532471,0.5110015842281288,23.0
site09,4,global,2021,506,6.274390697479248,0.5110015842281288,23.0
site09,4,local,2021,506,6.2065019607543945,0.5089772927301531,23.0
site10,0,global,2251,563,6.30272102355957,0.5502904738573529,26.0
site10,0,local,2251,563,6.3021016120910645,0.55700986911178,26.0
site10,1,global,2251,563,6.340880870819092,0.55700986911178,26.0
site10,1,local,2251,563,6.312787055969238,0.55700986911178,26.0
site10,2,global,2251,563,6.319043159484863,0.55700986911178,26.0
site10,2,local,2251,563,6.311981678009033,0.55700986911178,26.0
site10,3,global,2251,563,6.329205989837647,0.55700986911178,26.0
site10,3,local,2251,563,6.316542625427246,0.55700986911178,26.0
site10,4,global,2251,563,6.326474189758301,0.55700986911178,26.0
site10,4,local,2251,563,6.29741096496582,0.55700986911178,26.0
