site,round,stage,n_train,n_test,loss,mse,mae,r2
site01,0,global,1140,286,1.434856653213501,1.434856653213501,0.9480245113372804,-0.0550571680068969
site01,0,local,1140,286,1.2700690031051636,1.2700690031051636,0.8838741779327393,0.0661119818687439
site01,1,global,1140,286,1.224713683128357,1.224713683128357,0.8786959052085876,0.0994620323181152
site01,1,local,1140,286,1.220046043395996,1.220046043395996,0.876548707485199,0.102894127368927
site01,2,global,1140,286,1.2343218326568604,1.2343218326568604,0.8762982487678528,0.0923970341682434
site01,2,local,1140,286,1.224804162979126,1.224804162979126,0.8750437498092651,0.0993954539299011
site01,3,global,1140,286,1.2317497730255127,1.2317497730255127,0.876398503780365,0.0942883491516113
site01,3,local,1140,286,1.2350085973739624,1.2350085973739624,0.8761120438575745,0.0918920636177063
site01,4,global,1140,286,1.224170446395874,1.224170446395874,0.8782480359077454,0.0998615026473999
site01,4,local,1140,286,1.2257541418075562,1.2257541418075562,0.8752572536468506,0.0986969470977783
site02,0,global,1888,473,1.3246777057647705,1.3246777057647705,0.9250934720039368,-0.0099869966506958
site02,0,local,1888,473,1.1512527465820312,1.1512527465820312,0.8544409871101379,0.1222391724586486
site02,1,global,1888,473,1.1545286178588867,1.1545286178588867,0.8539111018180847,0.1197414994239807
site02,1,local,1888,473,1.1347492933273315,1.1347492933273315,0.8486577868461609,0.1348220705986023
site02,2,global,1888,473,1.1406291723251345,1.1406291723251345,0.8495841026306152,0.1303390264511108
site02,2,local,1888,473,1.1408030986785889,1.1408030986785889,0.8508561849594116,0.1302064061164856
site02,3,global,1888,473,1.140392184257507,1.140392184257507,0.8498084545135498,0.1305196285247802
site02,3,local,1888,473,1.13607919216156,1.13607919216156,0.8505478501319885,0.1338080167770385
site02,4,global,1888,473,1.1485884189605713,1.1485884189605713,0.8522228002548218,0.124270498752594
site02,4,local,1888,473,1.1370024681091309,1.1370024681091309,0.8486678004264832,0.1331040859222412
site03,0,global,2784,696,1.4099102020263672,1.4099102020263672,0.9520243406295776,-0.0157439708709716
site03,0,local,2784,696,1.2243537902832031,1.2243537902832031,0.8857104182243347,0.1179366707801818
site03,1,global,2784,696,1.2360154390335083,1.2360154390335083,0.891836404800415,0.109535276889801
site03,1,local,2784,696,1.2401708364486694,1.2401708364486694,0.8925952315330505,0.106541633605957
site03,2,global,2784,696,1.226884126663208,1.226884126663208,0.8875976800918579,0.1161137819290161
site03,2,local,2784,696,1.233995795249939,1.233995795249939,0.889823317527771,0.110990285873413
site03,3,global,2784,696,1.2278974056243896,1.2278974056243896,0.8888362050056458,0.1153838038444519
site03,3,local,2784,696,1.2306547164916992,1.2306547164916992,0.8862246870994568,0.1133973598480224
site03,4,global,2784,696,1.2323955297470093,1.2323955297470093,0.890180766582489,0.1121432185173034
site03,4,local,2784,696,1.232643961906433,1.232643961906433,0.8891158103942871,0.1119642257690429
site04,0,global,3644,912,1.3263055086135864,1.3263055086135864,0.927283763885498,-0.0111728906631469
site04,0,local,3644,912,1.1571153402328491,1.1571153402328491,0.8559601306915283,0.1178174018859863
site04,1,global,3644,912,1.153739094734192,1.153739094734192,0.8531137704849243,0.1203914284706115
site04,1,local,3644,912,1.1520781517028809,1.1520781517028809,0.8517727851867676,0.1216577291488647
site04,2,global,3644,912,1.1443849802017212,1.1443849802017212,0.8499117493629456,0.1275230050086975
site04,2,local,3644,912,1.1703059673309326,1.1703059673309326,0.8622241020202637,0.1077608466148376
site04,3,global,3644,912,1.1455066204071045,1.1455066204071045,0.8505239486694336,0.1266678571701049
site04,3,local,3644,912,1.146208882331848,1.146208882331848,0.8497250080108643,0.1261324286460876
site04,4,global,3644,912,1.1499923467636108,1.1499923467636108,0.851942777633667,0.1232479810714721
site04,4,local,3644,912,1.1677063703536987,1.1677063703536987,0.8599962592124939,0.1097427606582641
site05,0,global,3704,927,1.3125437498092651,1.3125437498092651,0.9174726605415344,-0.0180577039718627
site05,0,local,3704,927,1.1173537969589231,1.1173537969589231,0.8425154685974121,0.1333388090133667
site05,1,global,3704,927,1.1155455112457275,1.1155455112457275,0.8418769836425781,0.1347413659095764
site05,1,local,3704,927,1.125038504600525,1.125038504600525,0.8445490598678589,0.1273782849311828
site05,2,global,3704,927,1.106931209564209,1.106931209564209,0.8381459712982178,0.1414229273796081
site05,2,local,3704,927,1.113493800163269,1.113493800163269,0.8393322825431824,0.1363327503204345
site05,3,global,3704,927,1.1067802906036377,1.1067802906036377,0.83819979429245,0.141539990901947
site05,3,local,3704,927,1.1134843826293943,1.1134843826293943,0.8399037718772888,0.1363400220870971
site05,4,global,3704,927,1.1110539436340332,1.1110539436340332,0.840186595916748,0.1382251977920532
site05,4,local,3704,927,1.1143510341644287,1.1143510341644287,0.8417199850082397,0.1356678605079651
site06,0,global,4503,1126,1.405218243598938,1.405218243598938,0.9634363651275636,-0.0127187967300415
site06,0,local,4503,1126,1.2414042949676514,1.2414042949676514,0.9015651345252992,0.1053392887115478
site06,1,global,4503,1126,1.2304776906967163,1.2304776906967163,0.893090009689331,0.1132140159606933
site06,1,local,4503,1126,1.2447991371154783,1.2447991371154783,0.8990643620491028,0.1028927564620971
site06,2,global,4503,1126,1.2252602577209473,1.2252602577209473,0.8915562033653259,0.1169740557670593
site06,2,local,4503,1126,1.2382566928863523,1.2382566928863523,0.9004198908805847,0.1076077222824096
site06,3,global,4503,1126,1.22560715675354,1.22560715675354,0.8907462954521179,0.1167240738868713
site06,3,local,4503,1126,1.2360172271728516,1.2360172271728516,0.8946524262428284,0.1092216968536377
site06,4,global,4503,1126,1.2269800901412964,1.2269800901412964,0.8914854526519775,0.1157346367835998
site06,4,local,4503,1126,1.235783934593201,1.235783934593201,0.8969783186912537,0.109389841556549
site07,0,global,5712,1429,1.1759320497512815,1.1759320497512815,0.8676629662513733,-0.0229649543762207
site07,0,local,5712,1429,1.0454009771347046,1.0454009771347046,0.8168687224388123,0.0905865430831909
site07,1,global,5712,1429,1.0397781133651731,1.0397781133651731,0.8155720233917236,0.0954779386520385
site07,1,local,5712,1429,1.0411404371261597,1.0411404371261597,0.8159697651863098,0.0942928194999694
site07,2,global,5712,1429,1.0446785688400269,1.0446785688400269,0.8172524571418762,0.091214895248413
site07,2,local,5712,1429,1.0411921739578247,1.0411921739578247,0.8167880773544312,0.0942477583885192
site07,3,global,5712,1429,1.0443904399871826,1.0443904399871826,0.8169478178024292,0.0914655327796936
site07,3,local,5712,1429,1.0400069952011108,1.0400069952011108,0.815505862236023,0.095278799533844
site07,4,global,5712,1429,1.0402363538742063,1.0402363538742063,0.8157108426094055,0.0950792431831359
site07,4,local,5712,1429,1.0430099964141846,1.0430099964141846,0.8168767690658569,0.0926664471626281
site08,0,global,6523,1631,1.3157389163970947,1.3157389163970947,0.9083948135375975,-0.0121279954910278
site08,0,local,6523,1631,1.1427574157714844,1.1427574157714844,0.8485937714576721,0.1209375262260437
site08,1,global,6523,1631,1.1501141786575315,1.1501141786575315,0.8516843318939209,0.1152783632278442
site08,1,local,6523,1631,1.1512123346328735,1.1512123346328735,0.8519354462623596,0.1144335865974426
site08,2,global,6523,1631,1.144635558128357,1.144635558128357,0.8485279083251953,0.119492769241333
site08,2,local,6523,1631,1.1486940383911133,1.1486940383911133,0.8492082357406616,0.1163707971572876
site08,3,global,6523,1631,1.144614815711975,1.144614815711975,0.8489335179328918,0.1195087432861328
site08,3,local,6523,1631,1.1522237062454224,1.1522237062454224,0.8523643612861633,0.1136556267738342
site08,4,global,6523,1631,1.1473393440246582,1.1473393440246582,0.8505212068557739,0.1174128651618957
site08,4,local,6523,1631,1.1484665870666504,1.1484665870666504,0.8518989682197571,0.1165457963943481
site09,0,global,6739,1685,1.1952297687530518,1.1952297687530518,0.8661622405052185,-0.0173572301864624
site09,0,local,6739,1685,1.105851173400879,1.105851173400879,0.8323204517364502,0.0587202310562133
site09,1,global,6739,1685,1.0908206701278689,1.0908206701278689,0.8262916207313538,0.0715138912200927
site09,1,local,6739,1685,1.100868821144104,1.100868821144104,0.8302754163742065,0.0629610419273376
site09,2,global,6739,1685,1.0914782285690308,1.0914782285690308,0.8266298770904541,0.0709542036056518
site09,2,local,6739,1685,1.096439003944397,1.096439003944397,0.8284674286842346,0.0667316913604736
site09,3,global,6739,1685,1.093164086341858,1.093164086341858,0.8272417187690735,0.0695192217826843
site09,3,local,6739,1685,1.0959885120391846,1.0959885120391846,0.828278124332428,0.0671150684356689
site09,4,global,6739,1685,1.092311143875122,1.092311143875122,0.8267512321472168,0.0702452659606933
site09,4,local,6739,1685,1.0933188199996948,1.0933188199996948,0.8272750973701477,0.0693874955177307
site10,0,global,7504,1876,1.160130500793457,1.160130500793457,0.8493380546569824,-0.0313948392868042
site10,0,local,7504,1876,0.9951614141464232,0.9951614141464232,0.7918469309806824,0.1152681708335876
site10,1,global,7504,1876,0.9864460825920104,0.9864460825920104,0.7882782220840454,0.1230164170265197
site10,1,local,7504,1876,0.9886986017227172,0.9886986017227172,0.7889353632926941,0.1210138201713562
site10,2,global,7504,1876,0.9887173175811768,0.9887173175811768,0.7891436815261841,0.1209971904754638
site10,2,local,7504,1876,0.9892250299453736,0.9892250299453736,0.7899598479270935,0.1205458641052246
site10,3,global,7504,1876,0.988135039806366,0.988135039806366,0.7893447875976562,0.1215148568153381
site10,3,local,7504,1876,0.9885520935058594,0.9885520935058594,0.7901114225387573,0.1211441159248352
site10,4,global,7504,1876,0.9851288795471193,0.9851288795471193,0.7879336476325989,0.1241874098777771
site10,4,local,7504,1876,1.0108603239059448,1.0108603239059448,0.7976460456848145,0.1013113260269165
