site,round,x,f
site01,0,-3.0,0.0015779435634613
site01,0,-2.900000095367432,-0.0050832033157348
site01,0,-2.799999952316284,-0.011744350194931
site01,0,-2.700000047683716,-0.0184055417776107
site01,0,-2.5999999046325684,-0.0250666588544845
site01,0,-2.5,-0.0317278206348419
site01,0,-2.400000095367432,-0.0383889377117157
site01,0,-2.299999952316284,-0.045050099492073
site01,0,-2.200000047683716,-0.0517112165689468
site01,0,-2.0999999046325684,-0.058372363448143
site01,0,-2.0,-0.0649835169315338
site01,0,-1.899999976158142,-0.0700208768248558
site01,0,-1.7999999523162842,-0.0750581845641136
site01,0,-1.7000000476837158,-0.080110564827919
site01,0,-1.600000023841858,-0.0853396579623222
site01,0,-1.5,-0.090568758547306
site01,0,-1.399999976158142,-0.0960907638072967
site01,0,-1.2999999523162842,-0.1022076830267906
site01,0,-1.2000000476837158,-0.101557582616806
site01,0,-1.100000023841858,-0.0992347449064254
site01,0,-1.0,-0.0969119220972061
site01,0,-0.8999999761581421,-0.0932406857609748
site01,0,-0.800000011920929,-0.0891489833593368
site01,0,-0.699999988079071,-0.0866089761257171
site01,0,-0.6000000238418579,-0.0790381655097007
site01,0,-0.5,-0.069545142352581
site01,0,-0.4000000059604645,-0.056354746222496
site01,0,-0.3000000119209289,-0.0419560596346855
site01,0,-0.2000000029802322,-0.0277234464883804
site01,0,-0.1000000014901161,-0.0157309621572494
site01,0,0.0,-0.0056166648864746
site01,0,0.1000000014901161,0.0039514750242233
site01,0,0.2000000029802322,0.0121861696243286
site01,0,0.3000000119209289,0.0160539746284484
site01,0,0.4000000059604645,0.0188992917537689
site01,0,0.5,0.0218568891286849
site01,0,0.6000000238418579,0.0210488587617874
site01,0,0.699999988079071,0.010867416858673
site01,0,0.800000011920929,-0.0004570633172988
site01,0,0.8999999761581421,-0.0114163011312484
site01,0,1.0,-0.0161590576171875
site01,0,1.100000023841858,-0.0174166709184646
site01,0,1.2000000476837158,-0.014505311846733
site01,0,1.2999999523162842,-0.0104615092277526
site01,0,1.399999976158142,-0.0095901787281036
site01,0,1.5,-0.0066436678171157
site01,0,1.600000023841858,-0.004706472158432
site01,0,1.7000000476837158,-0.0016001760959625
site01,0,1.7999999523162842,0.0021355152130126
site01,0,1.899999976158142,0.0058713257312774
