site,round,stage,n_train,n_test,loss,mse,mae,r2
site01,0,global,1140,286,1.2812916040420532,1.2812916040420532,0.9085609316825868,0.0304308533668518
site01,0,local,1140,286,1.2362459897994995,1.2362459897994995,0.8758046627044678,0.0645174980163574
site01,1,global,1140,286,1.2320246696472168,1.2320246696472168,0.8764681220054626,0.0677117705345153
site01,1,local,1140,286,1.2384741306304932,1.2384741306304932,0.8761439919471741,0.0628313422203064
site01,2,global,1140,286,1.2285537719726562,1.2285537719726562,0.8763983845710754,0.0703381896018982
site01,2,local,1140,286,1.2336901426315308,1.2336901426315308,0.8775007128715515,0.0664514899253845
site01,3,global,1140,286,1.2314183712005615,1.2314183712005615,0.8775108456611633,0.0681705474853515
site01,3,local,1140,286,1.229040026664734,1.229040026664734,0.8757295608520508,0.0699702501296997
site01,4,global,1140,286,1.2294896841049194,1.2294896841049194,0.8771023154258728,0.0696300864219665
site01,4,local,1140,286,1.2243098020553589,1.2243098020553589,0.8767112493515015,0.0735496878623962
site01,5,global,1140,286,1.2278053760528564,1.2278053760528564,0.876792311668396,0.0709045529365539
site02,0,global,1888,473,1.2588505744934082,1.2588505744934082,0.8924304246902466,-0.0117723941802978
site02,0,local,1888,473,1.1560885906219482,1.1560885906219482,0.8539396524429321,0.0708202123641967
site02,1,global,1888,473,1.138389229774475,1.138389229774475,0.848433792591095,0.0850456357002258
site02,1,local,1888,473,1.136817455291748,1.136817455291748,0.8483969569206238,0.0863089561462402
site02,2,global,1888,473,1.1404130458831787,1.1404130458831787,0.8493580222129822,0.0834191441535949
site02,2,local,1888,473,1.1438761949539185,1.1438761949539185,0.8517485857009888,0.0806356072425842
site02,3,global,1888,473,1.1442183256149292,1.1442183256149292,0.8504308462142944,0.0803606510162353
site02,3,local,1888,473,1.1386027336120603,1.1386027336120603,0.8480599522590637,0.0848740935325622
site02,4,global,1888,473,1.140466570854187,1.140466570854187,0.8492387533187866,0.0833761096000671
site02,4,local,1888,473,1.1414587497711182,1.1414587497711182,0.8511026501655579,0.0825786590576171
