site,round,stage,n_train,n_test,loss,mse,mae,r2
site01,0,global,1140,286,1.277600646018982,1.277600646018982,0.9174830317497252,-0.0301049947738647
site01,0,local,1140,286,1.2193466424942017,1.2193466424942017,0.8789087533950806,0.0168640613555908
site01,1,global,1140,286,1.2313238382339478,1.2313238382339478,0.8780803680419922,0.0072070956230163
site01,1,local,1140,286,1.229588747024536,1.229588747024536,0.876270055770874,0.0086060762405395
site01,2,global,1140,286,1.226226806640625,1.226226806640625,0.8776583075523376,0.0113167762756347
site01,2,local,1140,286,1.2325879335403442,1.2325879335403442,0.8765184879302979,0.0061879158020019
site01,3,global,1140,286,1.2213315963745115,1.2213315963745115,0.8776220679283142,0.0152636170387268
site01,3,local,1140,286,1.2186229228973389,1.2186229228973389,0.8771789073944092,0.0174476504325866
site01,4,global,1140,286,1.224396824836731,1.224396824836731,0.8772803544998169,0.0127922296524047
site01,4,local,1140,286,1.2171881198883057,1.2171881198883057,0.8753626942634583,0.0186044573783874
site02,0,global,1888,473,1.3743773698806765,1.3743773698806765,0.9395097494125366,-0.139810562133789
site02,0,local,1888,473,1.1360862255096436,1.1360862255096436,0.850713312625885,0.0578111410140991
site02,1,global,1888,473,1.1424583196640017,1.1424583196640017,0.8510833978652954,0.0525264739990234
site02,1,local,1888,473,1.1405842304229736,1.1405842304229736,0.8512085676193237,0.0540807843208313
site02,2,global,1888,473,1.1429356336593628,1.1429356336593628,0.8514463305473328,0.05213063955307
site02,2,local,1888,473,1.146711826324463,1.146711826324463,0.8524156808853149,0.0489989519119262
site02,3,global,1888,473,1.1468158960342407,1.1468158960342407,0.8522523641586304,0.0489127039909362
site02,3,local,1888,473,1.136840581893921,1.136840581893921,0.8504863381385803,0.0571855306625366
site02,4,global,1888,473,1.143686294555664,1.143686294555664,0.8510676622390747,0.0515081286430358
site02,4,local,1888,473,1.1435221433639526,1.1435221433639526,0.8521414399147034,0.0516442656517028
site03,0,global,2784,696,1.388656497001648,1.388656497001648,0.945292830467224,-0.1055523157119751
site03,0,local,2784,696,1.2243719100952148,1.2243719100952148,0.8865838646888733,0.0252397060394287
site03,1,global,2784,696,1.227644681930542,1.227644681930542,0.8878968358039856,0.0226341485977172
site03,1,local,2784,696,1.2384634017944336,1.2384634017944336,0.8915649056434631,0.0140210390090942
site03,2,global,2784,696,1.2296485900878906,1.2296485900878906,0.8883486390113831,0.0210387706756591
site03,2,local,2784,696,1.2372119426727295,1.2372119426727295,0.891706109046936,0.0150173902511596
site03,3,global,2784,696,1.2316004037857056,1.2316004037857056,0.8894422054290771,0.0194848775863647
site03,3,local,2784,696,1.227790355682373,1.227790355682373,0.8881406188011169,0.0225182175636291
site03,4,global,2784,696,1.230754256248474,1.230754256248474,0.8887766003608704,0.0201584696769714
site03,4,local,2784,696,1.2265307903289795,1.2265307903289795,0.8870721459388733,0.0235209465026855
site04,0,global,3644,912,1.365082621574402,1.365082621574402,0.9373762011528016,-0.1234209537506103
site04,0,local,3644,912,1.1471335887908936,1.1471335887908936,0.8509061336517334,0.0559443831443786
site04,1,global,3644,912,1.146963596343994,1.146963596343994,0.8515498042106628,0.0560842752456665
site04,1,local,3644,912,1.1511255502700806,1.1511255502700806,0.8514201045036316,0.0526590347290039
site04,2,global,3644,912,1.1466349363327026,1.1466349363327026,0.8518334031105042,0.0563547015190124
site04,2,local,3644,912,1.1592166423797607,1.1592166423797607,0.8563340902328491,0.0460003614425659
site04,3,global,3644,912,1.1485124826431274,1.1485124826431274,0.852501630783081,0.0548095703125
site04,3,local,3644,912,1.1491389274597168,1.1491389274597168,0.8526116013526917,0.0542940497398376
site04,4,global,3644,912,1.1466302871704102,1.1466302871704102,0.8517540097236633,0.0563585758209228
site04,4,local,3644,912,1.1454025506973269,1.1454025506973269,0.8500382304191589,0.0573688745498657
site05,0,global,3704,927,1.2913718223571775,1.2913718223571775,0.9081151485443116,-0.0984257459640502
site05,0,local,3704,927,1.1201484203338623,1.1201484203338623,0.8440151810646057,0.047214925289154
site05,1,global,3704,927,1.1058449745178225,1.1058449745178225,0.8378978967666626,0.0593812465667724
site05,1,local,3704,927,1.111026167869568,1.111026167869568,0.838654100894928,0.0549741983413696
site05,2,global,3704,927,1.1047877073287964,1.1047877073287964,0.8373351693153381,0.0602805614471435
site05,2,local,3704,927,1.1092160940170288,1.1092160940170288,0.837821364402771,0.0565138459205627
site05,3,global,3704,927,1.106549620628357,1.106549620628357,0.8383190631866455,0.0587818622589111
site05,3,local,3704,927,1.111284613609314,1.111284613609314,0.8398239612579346,0.0547543168067932
site05,4,global,3704,927,1.1053848266601562,1.1053848266601562,0.8376148343086243,0.0597726106643676
site05,4,local,3704,927,1.1094290018081665,1.1094290018081665,0.8382954001426697,0.0563327074050903
site06,0,global,4503,1126,1.4071316719055176,1.4071316719055176,0.942948281764984,-0.0938228368759155
site06,0,local,4503,1126,1.233251452445984,1.233251452445984,0.8947523832321167,0.0413416028022766
site06,1,global,4503,1126,1.229960322380066,1.229960322380066,0.892828106880188,0.0438999533653259
site06,1,local,4503,1126,1.2316476106643677,1.2316476106643677,0.8935478329658508,0.0425883531570434
site06,2,global,4503,1126,1.2279108762741089,1.2279108762741089,0.891155481338501,0.0454930663108825
site06,2,local,4503,1126,1.2322100400924685,1.2322100400924685,0.8925870060920715,0.0421511530876159
site06,3,global,4503,1126,1.2279949188232422,1.2279949188232422,0.8912419080734253,0.0454277396202087
site06,3,local,4503,1126,1.2333548069000244,1.2333548069000244,0.8945779800415039,0.0412613153457641
site06,4,global,4503,1126,1.2271636724472046,1.2271636724472046,0.8910863399505615,0.0460739135742187
site06,4,local,4503,1126,1.2320866584777832,1.2320866584777832,0.8911111950874329,0.0422470569610595
site07,0,global,5712,1429,1.1649943590164185,1.1649943590164185,0.8603784441947937,-0.0876562595367431
site07,0,local,5712,1429,1.0563929080963137,1.0563929080963137,0.8212031126022339,0.0137356519699096
site07,1,global,5712,1429,1.0456550121307373,1.0456550121307373,0.817382276058197,0.0237607359886169
site07,1,local,5712,1429,1.0427850484848022,1.0427850484848022,0.8153114318847656,0.0264400839805603
site07,2,global,5712,1429,1.047128677368164,1.047128677368164,0.8171584606170654,0.0223848223686218
site07,2,local,5712,1429,1.0459765195846558,1.0459765195846558,0.8164886236190796,0.023460566997528
site07,3,global,5712,1429,1.0444906949996948,1.0444906949996948,0.8161731958389282,0.0248477458953857
site07,3,local,5712,1429,1.0546623468399048,1.0546623468399048,0.8206926584243774,0.0153513550758361
site07,4,global,5712,1429,1.0459405183792114,1.0459405183792114,0.8166999220848083,0.0234941840171813
site07,4,local,5712,1429,1.0679662227630615,1.0679662227630615,0.8269164562225342,0.0029305815696716
site08,0,global,6523,1631,1.3413676023483276,1.3413676023483276,0.9270829558372498,-0.1175280809402465
site08,0,local,6523,1631,1.144748568534851,1.144748568534851,0.8483201265335083,0.0462802648544311
site08,1,global,6523,1631,1.1456323862075806,1.1456323862075806,0.8490186929702759,0.0455439686775207
site08,1,local,6523,1631,1.1450237035751345,1.1450237035751345,0.848064124584198,0.0460510849952697
site08,2,global,6523,1631,1.1452144384384155,1.1452144384384155,0.849254846572876,0.0458921790122985
site08,2,local,6523,1631,1.144101619720459,1.144101619720459,0.8486709594726562,0.046819269657135
site08,3,global,6523,1631,1.1466753482818604,1.1466753482818604,0.8503514528274536,0.0446751117706298
site08,3,local,6523,1631,1.1446027755737305,1.1446027755737305,0.8491299152374268,0.0464017987251281
site08,4,global,6523,1631,1.1453665494918823,1.1453665494918823,0.8495112657546997,0.0457654595375061
site08,4,local,6523,1631,1.1453852653503418,1.1453852653503418,0.8490826487541199,0.0457499027252197
site09,0,global,6739,1685,1.281261920928955,1.281261920928955,0.8966863751411438,-0.133718729019165
site09,0,local,6739,1685,1.0884865522384644,1.0884865522384644,0.8251543641090393,0.0368576049804687
site09,1,global,6739,1685,1.0948385000228882,1.0948385000228882,0.8278355598449707,0.0312371253967285
site09,1,local,6739,1685,1.0960172414779663,1.0960172414779663,0.8282813429832458,0.0301941037178039
site09,2,global,6739,1685,1.0995550155639648,1.0995550155639648,0.8294240236282349,0.0270637273788452
site09,2,local,6739,1685,1.0935425758361816,1.0935425758361816,0.8272331953048706,0.0323838591575622
site09,3,global,6739,1685,1.099122166633606,1.099122166633606,0.8292323350906372,0.0274468064308166
site09,3,local,6739,1685,1.0956429243087769,1.0956429243087769,0.8279709815979004,0.0305253267288208
site09,4,global,6739,1685,1.0990110635757446,1.0990110635757446,0.8291802406311035,0.0275450348854064
site09,4,local,6739,1685,1.095856547355652,1.095856547355652,0.8281868696212769,0.0303363800048828
site10,0,global,7504,1876,1.153635025024414,1.153635025024414,0.8550970554351807,-0.1183046102523803
site10,0,local,7504,1876,0.9877356886863708,0.9877356886863708,0.7892449498176575,0.0425139665603637
site10,1,global,7504,1876,0.9885181188583374,0.9885181188583374,0.7894225716590881,0.0417554974555969
site10,1,local,7504,1876,0.9865922927856444,0.9865922927856444,0.7887210249900818,0.0436223149299621
site10,2,global,7504,1876,0.988662600517273,0.988662600517273,0.7898349761962891,0.0416154265403747
site10,2,local,7504,1876,0.987113118171692,0.987113118171692,0.7886627316474915,0.0431174635887146
site10,3,global,7504,1876,0.9872398972511292,0.9872398972511292,0.7893993854522705,0.0429946184158325
site10,3,local,7504,1876,0.986556887626648,0.986556887626648,0.788759171962738,0.0436566472053527
site10,4,global,7504,1876,0.9877329468727112,0.9877329468727112,0.7894057631492615,0.0425165891647338
site10,4,local,7504,1876,0.9915651679039,0.9915651679039,0.7899640798568726,0.0388017296791076
