site,round,x,f
site01,0,-3.0,0.5504958629608154
site01,0,-2.900000095367432,0.5444016456604004
site01,0,-2.799999952316284,0.5383073687553406
site01,0,-2.700000047683716,0.5322132110595703
site01,0,-2.5999999046325684,0.5257427096366882
site01,0,-2.5,0.5167579650878906
site01,0,-2.400000095367432,0.5077731609344482
site01,0,-2.299999952316284,0.4998804330825805
site01,0,-2.200000047683716,0.4927708506584167
site01,0,-2.0999999046325684,0.4844480752944946
site01,0,-2.0,0.4748631715774536
site01,0,-1.899999976158142,0.4652782678604126
site01,0,-1.7999999523162842,0.4556933045387268
site01,0,-1.7000000476837158,0.4453973472118377
site01,0,-1.600000023841858,0.4345703721046448
site01,0,-1.5,0.4237434267997741
site01,0,-1.399999976158142,0.4129409193992615
site01,0,-1.2999999523162842,0.3991682529449463
site01,0,-1.2000000476837158,0.3850077986717224
site01,0,-1.100000023841858,0.3705362379550934
site01,0,-1.0,0.3554862439632416
site01,0,-0.8999999761581421,0.3359855711460113
site01,0,-0.800000011920929,0.3155641555786133
site01,0,-0.699999988079071,0.2950120270252228
site01,0,-0.6000000238418579,0.2746095657348633
site01,0,-0.5,0.2559539973735809
site01,0,-0.4000000059604645,0.238703578710556
site01,0,-0.3000000119209289,0.2267215847969055
site01,0,-0.2000000029802322,0.2127950191497802
site01,0,-0.1000000014901161,0.2017843425273895
site01,0,0.0,0.1938997954130172
site01,0,0.1000000014901161,0.1863546222448349
site01,0,0.2000000029802322,0.1783729493618011
site01,0,0.3000000119209289,0.170690968632698
site01,0,0.4000000059604645,0.1636842787265777
site01,0,0.5,0.1574891507625579
site01,0,0.6000000238418579,0.1489506959915161
site01,0,0.699999988079071,0.1452692002058029
site01,0,0.800000011920929,0.143979012966156
site01,0,0.8999999761581421,0.1419620066881179
site01,0,1.0,0.1405035555362701
site01,0,1.100000023841858,0.1381914466619491
site01,0,1.2000000476837158,0.1435407549142837
site01,0,1.2999999523162842,0.1521956026554107
site01,0,1.399999976158142,0.1616479605436325
site01,0,1.5,0.1749677062034607
site01,0,1.600000023841858,0.1880995482206344
site01,0,1.7000000476837158,0.2002708166837692
site01,0,1.7999999523162842,0.212442085146904
site01,0,1.899999976158142,0.2246133685111999
site01,0,2.0,0.2367846369743347
site01,0,2.0999999046325684,0.2489187270402908
site01,0,2.200000047683716,0.2610291838645935
site01,0,2.299999952316284,0.2731395959854126
site01,0,2.400000095367432,0.2852500677108764
site01,0,2.5,0.296665757894516
site01,0,2.5999999046325684,0.3080223202705383
site01,0,2.700000047683716,0.3193788528442383
site01,0,2.799999952316284,0.3307353258132934
site01,0,2.900000095367432,0.3420919179916382
site01,0,3.0,0.3534483909606933
site01,1,-3.0,-0.05192331969738
site01,1,-2.900000095367432,-0.0598415583372116
site01,1,-2.799999952316284,-0.0677598565816879
