site,round,stage,n_train,n_test,loss,mse,mae,r2
site01,0,global,1140,286,1.4687436819076538,1.4687436819076538,0.950056791305542,-0.0795670747756958
site01,0,local,1140,286,1.2450480461120603,1.2450480461120603,0.8772871494293213,0.0848554372787475
site01,1,global,1140,286,1.2280969619750977,1.2280969619750977,0.8803824186325073,0.0973149538040161
site01,1,local,1140,286,1.2217860221862793,1.2217860221862793,0.8767459392547607,0.1019536256790161
site01,2,global,1140,286,1.242398738861084,1.242398738861084,0.8777341842651367,0.0868027210235595
site01,2,local,1140,286,1.2249213457107544,1.2249213457107544,0.8753387928009033,0.0996490716934204
site01,3,global,1140,286,1.230180025100708,1.230180025100708,0.8770038485527039,0.0957838296890258
site01,3,local,1140,286,1.2320537567138672,1.2320537567138672,0.8756825923919678,0.0944066047668457
site01,4,global,1140,286,1.225725769996643,1.225725769996643,0.8787675499916077,0.0990578532218933
site01,4,local,1140,286,1.2273168563842771,1.2273168563842771,0.8760052919387817,0.0978882908821106
site02,0,global,1888,473,1.418563723564148,1.418563723564148,0.9573763608932496,-0.0359537601470947
site02,0,local,1888,473,1.1500375270843506,1.1500375270843506,0.8541340231895447,0.1601465344429016
site02,1,global,1888,473,1.15537691116333,1.15537691116333,0.8550059795379639,0.1562472581863403
site02,1,local,1888,473,1.1340529918670654,1.1340529918670654,0.8495873808860779,0.1718198657035827
site02,2,global,1888,473,1.137811303138733,1.137811303138733,0.848751425743103,0.1690751910209655
site02,2,local,1888,473,1.1442979574203491,1.1442979574203491,0.8522441983222961,0.1643381118774414
site02,3,global,1888,473,1.1388840675354004,1.1388840675354004,0.8493782877922058,0.1682918071746826
site02,3,local,1888,473,1.136410355567932,1.136410355567932,0.8517623543739319,0.1700982451438903
site02,4,global,1888,473,1.148023247718811,1.148023247718811,0.8520607352256775,0.1616175174713134
site02,4,local,1888,473,1.1400500535964966,1.1400500535964966,0.8510450124740601,0.1674402952194214
site03,0,global,2784,696,1.4737489223480225,1.4737489223480225,0.9765886068344116,-0.0432592630386352
site03,0,local,2784,696,1.2245442867279053,1.2245442867279053,0.8861986398696899,0.1331514120101928
site03,1,global,2784,696,1.231911301612854,1.231911301612854,0.8900250196456909,0.1279363632202148
site03,1,local,2784,696,1.2339541912078855,1.2339541912078855,0.8908758163452148,0.1264901757240295
site03,2,global,2784,696,1.2275216579437256,1.2275216579437256,0.8873369693756104,0.1310437321662902
site03,2,local,2784,696,1.237001657485962,1.237001657485962,0.8918454647064209,0.1243329644203186
site03,3,global,2784,696,1.2276290655136108,1.2276290655136108,0.8881314992904663,0.1309677362442016
site03,3,local,2784,696,1.232861876487732,1.232861876487732,0.889583170413971,0.1272634267807006
site03,4,global,2784,696,1.2326825857162476,1.2326825857162476,0.8906645774841309,0.1273903846740722
site03,4,local,2784,696,1.235390543937683,1.235390543937683,0.8898177146911621,0.1254733800888061
site04,0,global,3644,912,1.42365562915802,1.42365562915802,0.9562557339668274,-0.0351481437683105
site04,0,local,3644,912,1.1499314308166504,1.1499314308166504,0.8529960513114929,0.1638782620429992
site04,1,global,3644,912,1.1560885906219482,1.1560885906219482,0.8550449013710022,0.1594013571739196
site04,1,local,3644,912,1.150654435157776,1.150654435157776,0.8512302041053772,0.1633525490760803
site04,2,global,3644,912,1.1459637880325315,1.1459637880325315,0.8507247567176819,0.1667630672454834
site04,2,local,3644,912,1.1566370725631714,1.1566370725631714,0.8561596274375916,0.1590024828910827
site04,3,global,3644,912,1.1462186574935913,1.1462186574935913,0.8513318300247192,0.1665778160095214
site04,3,local,3644,912,1.146244764328003,1.146244764328003,0.85153728723526,0.1665588021278381
site04,4,global,3644,912,1.1502478122711182,1.1502478122711182,0.852508544921875,0.1636481881141662
site04,4,local,3644,912,1.170560359954834,1.170560359954834,0.8616154789924622,0.148878812789917
site05,0,global,3704,927,1.3980906009674072,1.3980906009674072,0.94142484664917,-0.0437822341918945
site05,0,local,3704,927,1.1128743886947632,1.1128743886947632,0.8404215574264526,0.1691536903381347
site05,1,global,3704,927,1.1137363910675049,1.1137363910675049,0.841231644153595,0.1685101389884948
site05,1,local,3704,927,1.1154143810272217,1.1154143810272217,0.8407908082008362,0.1672573685646057
site05,2,global,3704,927,1.1062242984771729,1.1062242984771729,0.8378663063049316,0.1741184592247009
site05,2,local,3704,927,1.1170529127120972,1.1170529127120972,0.8399259448051453,0.1660341024398803
site05,3,global,3704,927,1.104540228843689,1.104540228843689,0.837238609790802,0.175375759601593
site05,3,local,3704,927,1.11042582988739,1.11042582988739,0.8384015560150146,0.1709817051887512
site05,4,global,3704,927,1.1093169450759888,1.1093169450759888,0.8397191166877747,0.1718096137046814
site05,4,local,3704,927,1.1140068769454956,1.1140068769454956,0.8402048349380493,0.1683081984519958
site06,0,global,4503,1126,1.49921715259552,1.49921715259552,0.9939621686935424,-0.0371837615966796
site06,0,local,4503,1126,1.2501059770584106,1.2501059770584106,0.9034401178359984,0.1351555585861206
site06,1,global,4503,1126,1.2360845804214478,1.2360845804214478,0.895561158657074,0.144855797290802
site06,1,local,4503,1126,1.253997802734375,1.253997802734375,0.9038439393043518,0.1324632167816162
site06,2,global,4503,1126,1.2315118312835691,1.2315118312835691,0.8951482176780701,0.1480193138122558
site06,2,local,4503,1126,1.2443021535873413,1.2443021535873413,0.9020645022392272,0.13917076587677
site06,3,global,4503,1126,1.227203607559204,1.227203607559204,0.891676664352417,0.1509998440742492
site06,3,local,4503,1126,1.2406197786331177,1.2406197786331177,0.8994981646537781,0.141718327999115
site06,4,global,4503,1126,1.230527400970459,1.230527400970459,0.8932071328163147,0.1487004160881042
site06,4,local,4503,1126,1.240473747253418,1.240473747253418,0.8984739780426025,0.1418193578720092
site07,0,global,5712,1429,1.2374567985534668,1.2374567985534668,0.8955288529396057,-0.0465435981750488
site07,0,local,5712,1429,1.0509448051452637,1.0509448051452637,0.8205740451812744,0.1111935973167419
site07,1,global,5712,1429,1.040168523788452,1.040168523788452,0.8164619207382202,0.1203072667121887
