site,round,malicious,attacking,update_norm,sent_norm,client_clipped,update_cos,mia_auc
site01,0,0,0,1.7133820013764565,1.7133820013764565,0,,
site02,0,0,0,1.948981131274608,1.948981131274608,0,,
site03,0,0,0,2.1414292211380133,2.1414292211380133,0,,
site04,0,0,0,2.300885109305664,2.300885109305664,0,,
site05,0,0,0,2.3140879101544964,2.3140879101544964,0,,
site06,0,0,0,2.298120051010568,2.298120051010568,0,,
site07,0,0,0,2.4526334875395763,2.4526334875395763,0,,
site08,0,0,0,2.327371613851587,2.327371613851587,0,,
site09,0,1,1,1.968651885471477,1.968651885471477,0,,
site10,0,1,1,2.048190740966705,2.048190740966705,0,,
site01,1,0,0,0.6617962103711389,0.6617962103711389,0,,
site02,1,0,0,0.4950617320608876,0.4950617320608876,0,,
site03,1,0,0,1.0447526114542016,1.0447526114542016,0,,
site04,1,0,0,0.9385335121085452,0.9385335121085452,0,,
site05,1,0,0,0.7043928849033361,0.7043928849033361,0,,
site06,1,0,0,0.9145083398358026,0.9145083398358026,0,,
site07,1,0,0,1.387929939039381,1.387929939039381,0,,
site08,1,0,0,1.5725240679778878,1.5725240679778878,0,,
site09,1,1,1,1.0906238341390864,1.0906238341390864,0,,
site10,1,1,1,1.1684177988567763,1.1684177988567763,0,,
site01,2,0,0,0.6465697644103369,0.6465697644103369,0,,
site02,2,0,0,0.6289848936139848,0.6289848936139848,0,,
site03,2,0,0,0.8697432312968635,0.8697432312968635,0,,
site04,2,0,0,0.8018884678171363,0.8018884678171363,0,,
site05,2,0,0,0.730490819820385,0.730490819820385,0,,
site06,2,0,0,0.7816509554415407,0.7816509554415407,0,,
site07,2,0,0,1.1355649533697971,1.1355649533697971,0,,
site08,2,0,0,1.4574610795785492,1.4574610795785492,0,,
site09,2,1,1,1.3884601917513644,1.3884601917513644,0,,
site10,2,1,1,1.285548771368798,1.285548771368798,0,,
site01,3,0,0,0.618985599160782,0.618985599160782,0,,
site02,3,0,0,0.5335830478387854,0.5335830478387854,0,,
site03,3,0,0,0.78235074718913,0.78235074718913,0,,
site04,3,0,0,0.7627767541670297,0.7627767541670297,0,,
site05,3,0,0,0.6019108901609086,0.6019108901609086,0,,
site06,3,0,0,0.8604048082463764,0.8604048082463764,0,,
site07,3,0,0,1.1614192863931063,1.1614192863931063,0,,
site08,3,0,0,1.254510013279844,1.254510013279844,0,,
site09,3,1,1,1.2597873501177868,1.2597873501177868,0,,
site10,3,1,1,1.2991089307565795,1.2991089307565795,0,,
site01,4,0,0,0.4640388461378097,0.4640388461378097,0,,
site02,4,0,0,0.4596801543278608,0.4596801543278608,0,,
site03,4,0,0,0.7285007626159815,0.7285007626159815,0,,
site04,4,0,0,0.7782495622658785,0.7782495622658785,0,,
site05,4,0,0,0.6543474543305041,0.6543474543305041,0,,
site06,4,0,0,0.6716250031122033,0.6716250031122033,0,,
site07,4,0,0,1.120940594871108,1.120940594871108,0,,
site08,4,0,0,1.400960587328507,1.400960587328507,0,,
site09,4,1,1,1.2234375893909892,1.2234375893909892,0,,
site10,4,1,1,1.264307096397571,1.264307096397571,0,,
