site,round,stage,n_train,n_test,loss,mse,mae,r2,fs_r2,xhat_sd
site01,0,global,1140,286,2.380789041519165,2.380789041519165,1.2031162977218628,-0.7499454021453857,0.0217035588937736,0.3707268238067627
site01,0,local,1140,286,1.498165726661682,1.498165726661682,0.980795681476593,-0.1011930704116821,0.0217035588937736,0.3707268238067627
site01,1,global,1140,286,1.31484854221344,1.31484854221344,0.9230557084083556,0.0335500836372375,0.0217035588937736,0.3707268238067627
site01,1,local,1140,286,1.2868614196777344,1.2868614196777344,0.9229312539100648,0.0541214346885681,0.0217035588937736,0.3707268238067627
site01,2,global,1140,286,1.2839539051055908,1.2839539051055908,0.9152851104736328,0.0562585592269897,0.0217035588937736,0.3707268238067627
site01,2,local,1140,286,1.278620958328247,1.278620958328247,0.906321942806244,0.0601783394813537,0.0217035588937736,0.3707268238067627
site01,3,global,1140,286,1.262053608894348,1.262053608894348,0.903527855873108,0.0723558664321899,0.0217035588937736,0.3707268238067627
site01,3,local,1140,286,1.2658134698867798,1.2658134698867798,0.895118772983551,0.0695922970771789,0.0217035588937736,0.3707268238067627
site01,4,global,1140,286,1.2501027584075928,1.2501027584075928,0.8989456295967102,0.0811400413513183,0.0217035588937736,0.3707268238067627
site01,4,local,1140,286,1.2364907264709473,1.2364907264709473,0.8862259387969971,0.0911452770233154,0.0217035588937736,0.3707268238067627
site01,5,global,1140,286,1.2373228073120115,1.2373228073120115,0.8929571509361267,0.0905336737632751,0.0217035588937736,0.3707268238067627
site02,0,global,1888,473,2.683614492416382,2.683614492416382,1.3108503818511963,-0.9597992897033693,0.0927251568912539,0.3264499604701996
site02,0,local,1888,473,1.3139278888702393,1.3139278888702393,0.9208451509475708,0.0404601097106933,0.0927251568912539,0.3264499604701996
site02,1,global,1888,473,1.2664852142333984,1.2664852142333984,0.9018574953079224,0.0751067996025085,0.0927251568912539,0.3264499604701996
site02,1,local,1888,473,1.235640048980713,1.235640048980713,0.886732280254364,0.0976324081420898,0.0927251568912539,0.3264499604701996
site02,2,global,1888,473,1.25622296333313,1.25622296333313,0.8980684280395508,0.0826010704040527,0.0927251568912539,0.3264499604701996
site02,2,local,1888,473,1.2337666749954224,1.2337666749954224,0.8887022733688354,0.0990005135536193,0.0927251568912539,0.3264499604701996
site02,3,global,1888,473,1.2117116451263428,1.2117116451263428,0.8796291947364807,0.1151069998741149,0.0927251568912539,0.3264499604701996
site02,3,local,1888,473,1.1816306114196775,1.1816306114196775,0.8697202801704407,0.1370747089385986,0.0927251568912539,0.3264499604701996
site02,4,global,1888,473,1.2015843391418457,1.2015843391418457,0.8749500513076782,0.1225028038024902,0.0927251568912539,0.3264499604701996
site02,4,local,1888,473,1.1996454000473022,1.1996454000473022,0.8756353259086609,0.1239187717437744,0.0927251568912539,0.3264499604701996
site02,5,global,1888,473,1.1872729063034058,1.1872729063034058,0.869340181350708,0.1329541802406311,0.0927251568912539,0.3264499604701996
site03,0,global,2784,696,2.573023557662964,2.573023557662964,1.2965803146362305,-0.8214300870895386,0.0630619951046852,0.2924663722515106
site03,0,local,2784,696,1.270272135734558,1.270272135734558,0.905985713005066,0.100780963897705,0.0630619951046852,0.2924663722515106
site03,1,global,2784,696,1.2569500207901,1.2569500207901,0.8966524004936218,0.1102115511894226,0.0630619951046852,0.2924663722515106
site03,1,local,2784,696,1.2550753355026243,1.2550753355026243,0.8984118103981018,0.1115387082099914,0.0630619951046852,0.2924663722515106
