round,site,malicious,rule,weight,norm,clipped,kept,share,flagged
0,site01,0,fedavg,0.02582632926304343,17.45287338830037,0,1.0,1.0,0
0,site02,0,fedavg,0.04277202600756666,16.700206068935227,0,1.0,1.0,0
0,site03,0,fedavg,0.06307061462132711,17.338697108016397,0,1.0,1.0,0
0,site04,0,fedavg,0.0825536349425704,16.61154499634664,0,1.0,1.0,0
0,site05,0,fedavg,0.083912915430099,16.82231814633188,0,1.0,1.0,0
0,site06,0,fedavg,0.10201400058902155,17.486890880742987,0,1.0,1.0,0
0,site07,0,fedavg,0.12940350241272286,16.822436484028103,0,1.0,1.0,0
0,site08,0,fedavg,0.14777644366915113,17.055461450269075,0,1.0,1.0,0
0,site09,0,fedavg,0.1526698534242541,16.785471514524367,0,1.0,1.0,0
0,site10,0,fedavg,0.17000067964024376,16.494174635841834,0,1.0,1.0,0
1,site01,0,fedavg,0.02582632926304343,17.37798790223747,0,1.0,1.0,0
1,site02,0,fedavg,0.04277202600756666,16.529371707484827,0,1.0,1.0,0
1,site03,0,fedavg,0.06307061462132711,16.23197687573421,0,1.0,1.0,0
1,site04,0,fedavg,0.0825536349425704,17.446574927131817,0,1.0,1.0,0
1,site05,0,fedavg,0.083912915430099,17.05976641308353,0,1.0,1.0,0
1,site06,0,fedavg,0.10201400058902155,17.31058259274211,0,1.0,1.0,0
1,site07,0,fedavg,0.12940350241272286,16.845780847867434,0,1.0,1.0,0
1,site08,0,fedavg,0.14777644366915113,17.103838707277443,0,1.0,1.0,0
1,site09,0,fedavg,0.1526698534242541,17.00515502706282,0,1.0,1.0,0
1,site10,0,fedavg,0.17000067964024376,16.655343065538883,0,1.0,1.0,0
2,site01,0,fedavg,0.02582632926304343,16.883242302886607,0,1.0,1.0,0
2,site02,0,fedavg,0.04277202600756666,16.705805465028277,0,1.0,1.0,0
2,site03,0,fedavg,0.06307061462132711,16.831104899538566,0,1.0,1.0,0
2,site04,0,fedavg,0.0825536349425704,17.48211338449416,0,1.0,1.0,0
2,site05,0,fedavg,0.083912915430099,16.547162262440136,0,1.0,1.0,0
2,site06,0,fedavg,0.10201400058902155,17.419482963172246,0,1.0,1.0,0
2,site07,0,fedavg,0.12940350241272286,17.885629388935634,0,1.0,1.0,0
2,site08,0,fedavg,0.14777644366915113,17.17498136131756,0,1.0,1.0,0
2,site09,0,fedavg,0.1526698534242541,16.563175232290387,0,1.0,1.0,0
2,site10,0,fedavg,0.17000067964024376,16.76560172059509,0,1.0,1.0,0
3,site01,0,fedavg,0.02582632926304343,16.46602537176814,0,1.0,1.0,0
3,site02,0,fedavg,0.04277202600756666,16.61817604495437,0,1.0,1.0,0
3,site03,0,fedavg,0.06307061462132711,17.216341769757015,0,1.0,1.0,0
3,site04,0,fedavg,0.0825536349425704,17.0875484081016,0,1.0,1.0,0
3,site05,0,fedavg,0.083912915430099,17.121460102298446,0,1.0,1.0,0
3,site06,0,fedavg,0.10201400058902155,16.94605559133712,0,1.0,1.0,0
3,site07,0,fedavg,0.12940350241272286,17.503447715048786,0,1.0,1.0,0
3,site08,0,fedavg,0.14777644366915113,17.391902109970705,0,1.0,1.0,0
3,site09,0,fedavg,0.1526698534242541,16.380539738058523,0,1.0,1.0,0
3,site10,0,fedavg,0.17000067964024376,16.84068648958121,0,1.0,1.0,0
4,site01,0,fedavg,0.02582632926304343,17.007094293801902,0,1.0,1.0,0
4,site02,0,fedavg,0.04277202600756666,16.423873792975538,0,1.0,1.0,0
4,site03,0,fedavg,0.06307061462132711,17.866970135482248,0,1.0,1.0,0
4,site04,0,fedavg,0.0825536349425704,17.48168919739079,0,1.0,1.0,0
4,site05,0,fedavg,0.083912915430099,17.333362070845084,0,1.0,1.0,0
4,site06,0,fedavg,0.10201400058902155,17.3443513419147,0,1.0,1.0,0
4,site07,0,fedavg,0.12940350241272286,16.841498246520327,0,1.0,1.0,0
4,site08,0,fedavg,0.14777644366915113,17.902029388825408,0,1.0,1.0,0
4,site09,0,fedavg,0.1526698534242541,17.151536575198403,0,1.0,1.0,0
4,site10,0,fedavg,0.17000067964024376,17.103960153223266,0,1.0,1.0,0
