suite,scenario,dataset,seed,x,f
combined,clean,quadratic,0,-3.0,0.3961037024855614
combined,clean,quadratic,0,-2.900000095367432,0.3642501756548882
combined,clean,quadratic,0,-2.799999952316284,0.33239664882421494
combined,clean,quadratic,0,-2.700000047683716,0.30054321140050894
combined,clean,quadratic,0,-2.5999999046325684,0.2686897143721581
combined,clean,quadratic,0,-2.5,0.2368362173438072
combined,clean,quadratic,0,-2.400000095367432,0.2049827799201012
combined,clean,quadratic,0,-2.299999952316284,0.1731292530894279
combined,clean,quadratic,0,-2.200000047683716,0.1412758156657219
combined,clean,quadratic,0,-2.0999999046325684,0.1087954565882683
combined,clean,quadratic,0,-2.0,0.0740224197506905
combined,clean,quadratic,0,-1.899999976158142,0.0392492786049843
combined,clean,quadratic,0,-1.7999999523162842,0.0044761672616005
combined,clean,quadratic,0,-1.7000000476837158,-0.030296914279460803
combined,clean,quadratic,0,-1.600000023841858,-0.06450213491916651
combined,clean,quadratic,0,-1.5,-0.0879634395241737
combined,clean,quadratic,0,-1.399999976158142,-0.0980250760912894
combined,clean,quadratic,0,-1.2999999523162842,-0.1048836335539817
combined,clean,quadratic,0,-1.2000000476837158,-0.1118575111031531
combined,clean,quadratic,0,-1.100000023841858,-0.1172698959708213
combined,clean,quadratic,0,-1.0,-0.11902520805597298
combined,clean,quadratic,0,-0.8999999761581421,-0.1197781786322593
combined,clean,quadratic,0,-0.800000011920929,-0.1175572499632835
combined,clean,quadratic,0,-0.699999988079071,-0.11533633619546879
combined,clean,quadratic,0,-0.6000000238418579,-0.11311540752649299
combined,clean,quadratic,0,-0.5,-0.10798821598291389
combined,clean,quadratic,0,-0.4000000059604645,-0.09954238682985299
combined,clean,quadratic,0,-0.3000000119209289,-0.0840532109141349
combined,clean,quadratic,0,-0.2000000029802322,-0.055981948971748303
combined,clean,quadratic,0,-0.1000000014901161,-0.0247184708714484
combined,clean,quadratic,0,0.0,0.0
combined,clean,quadratic,0,0.1000000014901161,0.025340206921100603
combined,clean,quadratic,0,0.2000000029802322,0.050595499575138106
combined,clean,quadratic,0,0.3000000119209289,0.07585079222917561
combined,clean,quadratic,0,0.4000000059604645,0.1195593848824501
combined,clean,quadratic,0,0.5,0.1758570894598961
combined,clean,quadratic,0,0.6000000238418579,0.23215486854314799
combined,clean,quadratic,0,0.699999988079071,0.2884525880217552
combined,clean,quadratic,0,0.800000011920929,0.3491421565413475
combined,clean,quadratic,0,0.8999999761581421,0.40874763578176504
combined,clean,quadratic,0,1.0,0.46706642955541605
combined,clean,quadratic,0,1.100000023841858,0.5350252017378807
combined,clean,quadratic,0,1.2000000476837158,0.6032046899199486
combined,clean,quadratic,0,1.2999999523162842,0.6713841184973717
combined,clean,quadratic,0,1.399999976158142,0.7395636066794395
combined,clean,quadratic,0,1.5,0.8103354796767235
combined,clean,quadratic,0,1.600000023841858,0.8894744142889977
combined,clean,quadratic,0,1.7000000476837158,0.9735367521643641
combined,clean,quadratic,0,1.7999999523162842,1.0583674535155296
combined,clean,quadratic,0,1.899999976158142,1.1431986913084984
combined,clean,quadratic,0,2.0,1.2321443185210228
combined,clean,quadratic,0,2.0999999046325684,1.322666607797146
combined,clean,quadratic,0,2.200000047683716,1.413189135491848
combined,clean,quadratic,0,2.299999952316284,1.5037116631865501
combined,clean,quadratic,0,2.400000095367432,1.5942341908812523
combined,clean,quadratic,0,2.5,1.6847564801573753
combined,clean,quadratic,0,2.5999999046325684,1.7752787694334984
combined,clean,quadratic,0,2.700000047683716,1.8658012971282
combined,clean,quadratic,0,2.799999952316284,1.9545027837157245
combined,clean,quadratic,0,2.900000095367432,2.041899405419827
combined,clean,quadratic,0,3.0,2.129295788705349
combined,clean,quadratic,6,-3.0,-0.4186435788869858
combined,clean,quadratic,6,-2.900000095367432,-0.4132866710424423
combined,clean,quadratic,6,-2.799999952316284,-0.4083635061979294
combined,clean,quadratic,6,-2.700000047683716,-0.403440460562706
combined,clean,quadratic,6,-2.5999999046325684,-0.398517295718193
combined,clean,quadratic,6,-2.5,-0.3935941308736801
combined,clean,quadratic,6,-2.400000095367432,-0.3886897414922714
combined,clean,quadratic,6,-2.299999952316284,-0.3837983459234237
combined,clean,quadratic,6,-2.200000047683716,-0.3789069205522537
combined,clean,quadratic,6,-2.0999999046325684,-0.3740154951810837
combined,clean,quadratic,6,-2.0,-0.3691240698099136
combined,clean,quadratic,6,-1.899999976158142,-0.364232674241066
combined,clean,quadratic,6,-1.7999999523162842,-0.3593412786722183
combined,clean,quadratic,6,-1.7000000476837158,-0.3544498533010483
combined,clean,quadratic,6,-1.600000023841858,-0.3495584279298782
combined,clean,quadratic,6,-1.5,-0.3446670323610306
combined,clean,quadratic,6,-1.399999976158142,-0.3397755771875381
combined,clean,quadratic,6,-1.2999999523162842,-0.3348841816186905
combined,clean,quadratic,6,-1.2000000476837158,-0.3301007598638534
combined,clean,quadratic,6,-1.100000023841858,-0.3224257677793503
combined,clean,quadratic,6,-1.0,-0.3087659031152725
combined,clean,quadratic,6,-0.8999999761581421,-0.2927839607000351
combined,clean,quadratic,6,-0.800000011920929,-0.2747784703969955
combined,clean,quadratic,6,-0.699999988079071,-0.2567730396986007
combined,clean,quadratic,6,-0.6000000238418579,-0.238767609000206
combined,clean,quadratic,6,-0.5,-0.219652459025383
combined,clean,quadratic,6,-0.4000000059604645,-0.1868801563978195
combined,clean,quadratic,6,-0.3000000119209289,-0.1459639519453048
combined,clean,quadratic,6,-0.2000000029802322,-0.1050667315721511
combined,clean,quadratic,6,-0.1000000014901161,-0.0560415387153625
combined,clean,quadratic,6,0.0,0.0
combined,clean,quadratic,6,0.1000000014901161,0.0500779449939727
combined,clean,quadratic,6,0.2000000029802322,0.1078480929136276
combined,clean,quadratic,6,0.3000000119209289,0.1656182557344436
combined,clean,quadratic,6,0.4000000059604645,0.2189195454120636
combined,clean,quadratic,6,0.5,0.2813469022512436
combined,clean,quadratic,6,0.6000000238418579,0.3454323261976242
combined,clean,quadratic,6,0.699999988079071,0.42366327345371235
combined,clean,quadratic,6,0.800000011920929,0.5014450401067734
combined,clean,quadratic,6,0.8999999761581421,0.576277956366539
combined,clean,quadratic,6,1.0,0.6554126590490341
combined,clean,quadratic,6,1.100000023841858,0.739279255270958
combined,clean,quadratic,6,1.2000000476837158,0.8284884542226791
combined,clean,quadratic,6,1.2999999523162842,0.9224648326635361
combined,clean,quadratic,6,1.399999976158142,1.0178170055150986
combined,clean,quadratic,6,1.5,1.116681084036827
combined,clean,quadratic,6,1.600000023841858,1.2171275466680527
combined,clean,quadratic,6,1.7000000476837158,1.3246637433767319
combined,clean,quadratic,6,1.7999999523162842,1.432199940085411
combined,clean,quadratic,6,1.899999976158142,1.541087731719017
combined,clean,quadratic,6,2.0,1.6545179933309555
combined,clean,quadratic,6,2.0999999046325684,1.766421422362328
combined,clean,quadratic,6,2.200000047683716,1.87724195420742
combined,clean,quadratic,6,2.299999952316284,1.9880621284246445
combined,clean,quadratic,6,2.400000095367432,2.0971659272909164
combined,clean,quadratic,6,2.5,2.2061487287282944
combined,clean,quadratic,6,2.5999999046325684,2.315131768584252
combined,clean,quadratic,6,2.700000047683716,2.4241148084402084
combined,clean,quadratic,6,2.799999952316284,2.532122239470482
combined,clean,quadratic,6,2.900000095367432,2.6346322149038315
combined,clean,quadratic,6,3.0,2.737141951918602
combined,clean,quadratic,1,-3.0,-0.1348216533660887
combined,clean,quadratic,1,-2.900000095367432,-0.13685528934001912
