site,round,stage,n_train,n_test,loss,mse,mae,r2,fs_r2,xhat_sd
site01,0,global,1140,286,1.3352526426315308,1.3352526426315308,0.9215044975280762,0.018552541732788,0.0217035588937736,0.3707268238067627
site01,0,local,1140,286,1.2554693222045898,1.2554693222045898,0.8854707479476929,0.0771954655647277,0.0217035588937736,0.3707268238067627
site01,1,global,1140,286,1.2639060020446775,1.2639060020446775,0.8810701370239258,0.0709943175315857,0.0217035588937736,0.3707268238067627
site01,1,local,1140,286,1.26556658744812,1.26556658744812,0.8776878714561462,0.0697736740112304,0.0217035588937736,0.3707268238067627
site01,2,global,1140,286,1.2605496644973757,1.2605496644973757,0.8775521516799927,0.0734612941741943,0.0217035588937736,0.3707268238067627
site01,2,local,1140,286,1.2478550672531128,1.2478550672531128,0.8765199184417725,0.0827922224998474,0.0217035588937736,0.3707268238067627
site01,3,global,1140,286,1.2483593225479126,1.2483593225479126,0.8752354979515076,0.0824215412139892,0.0217035588937736,0.3707268238067627
site01,3,local,1140,286,1.2369109392166138,1.2369109392166138,0.8749772906303406,0.0908364057540893,0.0217035588937736,0.3707268238067627
site01,4,global,1140,286,1.2402478456497192,1.2402478456497192,0.8752362728118896,0.0883837342262268,0.0217035588937736,0.3707268238067627
site01,4,local,1140,286,1.2285301685333252,1.2285301685333252,0.8720419406890869,0.0969965457916259,0.0217035588937736,0.3707268238067627
site01,5,global,1140,286,1.2372632026672363,1.2372632026672363,0.8749467134475708,0.090577483177185,0.0217035588937736,0.3707268238067627
site02,0,global,1888,473,1.2768627405166626,1.2768627405166626,0.907562792301178,0.0675282478332519,0.0927251568912539,0.3264499604701996
site02,0,local,1888,473,1.1528098583221436,1.1528098583221436,0.8568078875541687,0.1581220030784607,0.0927251568912539,0.3264499604701996
site02,1,global,1888,473,1.1297905445098877,1.1297905445098877,0.8459885120391846,0.174932599067688,0.0927251568912539,0.3264499604701996
site02,1,local,1888,473,1.129265308380127,1.129265308380127,0.8444345593452454,0.1753161549568176,0.0927251568912539,0.3264499604701996
site02,2,global,1888,473,1.1250048875808716,1.1250048875808716,0.8439570069313049,0.1784274578094482,0.0927251568912539,0.3264499604701996
site02,2,local,1888,473,1.1327362060546875,1.1327362060546875,0.8465263247489929,0.1727814078330993,0.0927251568912539,0.3264499604701996
site02,3,global,1888,473,1.1281893253326416,1.1281893253326416,0.8454446792602539,0.1761019825935363,0.0927251568912539,0.3264499604701996
site02,3,local,1888,473,1.1245754957199097,1.1245754957199097,0.8444181680679321,0.1787410974502563,0.0927251568912539,0.3264499604701996
site02,4,global,1888,473,1.1304398775100708,1.1304398775100708,0.8466719388961792,0.1744583845138549,0.0927251568912539,0.3264499604701996
site02,4,local,1888,473,1.129747748374939,1.129747748374939,0.8462716937065125,0.174963891506195,0.0927251568912539,0.3264499604701996
site02,5,global,1888,473,1.1280908584594729,1.1280908584594729,0.8458763957023621,0.1761738657951355,0.0927251568912539,0.3264499604701996
site03,0,global,2784,696,1.3745381832122805,1.3745381832122805,0.9290408492088318,0.0269715189933776,0.0630619951046852,0.2924663722515106
site03,0,local,2784,696,1.25184965133667,1.25184965133667,0.897785484790802,0.1138221025466919,0.0630619951046852,0.2924663722515106
site03,1,global,2784,696,1.2493349313735962,1.2493349313735962,0.8964579105377197,0.1156022548675537,0.0630619951046852,0.2924663722515106
site03,1,local,2784,696,1.252241849899292,1.252241849899292,0.8962157964706421,0.1135445237159729,0.0630619951046852,0.2924663722515106
site03,2,global,2784,696,1.2434600591659546,1.2434600591659546,0.8946053385734558,0.119761049747467,0.0630619951046852,0.2924663722515106
site03,2,local,2784,696,1.245896577835083,1.245896577835083,0.8944043517112732,0.1180362701416015,0.0630619951046852,0.2924663722515106
site03,3,global,2784,696,1.2416473627090454,1.2416473627090454,0.8937044739723206,0.1210442781448364,0.0630619951046852,0.2924663722515106
site03,3,local,2784,696,1.244834065437317,1.244834065437317,0.894216775894165,0.1187884211540222,0.0630619951046852,0.2924663722515106
site03,4,global,2784,696,1.2367039918899536,1.2367039918899536,0.8915316462516785,0.1245436668395996,0.0630619951046852,0.2924663722515106
site03,4,local,2784,696,1.237736463546753,1.237736463546753,0.8926570415496826,0.123812735080719,0.0630619951046852,0.2924663722515106
site03,5,global,2784,696,1.2301793098449707,1.2301793098449707,0.8884270191192627,0.1291623711585998,0.0630619951046852,0.2924663722515106
site04,0,global,3644,912,1.3418121337890625,1.3418121337890625,0.9147059917449952,0.0243606567382812,0.080704962135807,0.2982235848903656
site04,0,local,3644,912,1.1645681858062744,1.1645681858062744,0.8523175716400146,0.1532357931137085,0.080704962135807,0.2982235848903656
site04,1,global,3644,912,1.1676143407821655,1.1676143407821655,0.8537277579307556,0.1510208845138549,0.080704962135807,0.2982235848903656
site04,1,local,3644,912,1.155761480331421,1.155761480331421,0.8493418097496033,0.1596391797065735,0.080704962135807,0.2982235848903656
site04,2,global,3644,912,1.1564784049987793,1.1564784049987793,0.8497942090034485,0.1591179370880127,0.080704962135807,0.2982235848903656
site04,2,local,3644,912,1.1707379817962646,1.1707379817962646,0.8578872680664062,0.1487497091293335,0.080704962135807,0.2982235848903656
