dataset,method,task,round,accuracy,precision,recall,f1,auc,fs_r2,c_index,mse,mae,r2,theta_X,se_X,robust_se_X,first_stage_F
binary_quadratic_logistic,naive,binary,5,0.7005706004890861,0.5108157872407335,0.061332474056956535,0.10941471062234176,0.5773844909460518,,,,,,,,,
binary_quadratic_logistic,2sri,binary,5,0.7008423150076986,0.5135064633366536,0.06796469353231978,0.11987055269906657,0.5781122819379717,0.08381305939957168,,,,,,,,
binary_quadratic_logistic,2sps,binary,5,0.6993931709084322,0.0,0.0,0.0,0.5134474850840374,0.08381305939957168,,,,,,,,
cox,naive,survival,5,,,,,,,0.602893903431828,,,,,,,
cox,2sri,survival,5,,,,,,0.09206958842185302,0.6029586299826801,,,,,,,
cox,2sps,survival,5,,,,,,0.09206958842185302,0.526066755613303,,,,,,,
cox_rare,naive,survival,5,,,,,,,0.6202145531021489,,,,,,,
cox_rare,2sri,survival,5,,,,,,0.06796100929550579,0.6201589911858262,,,,,,,
cox_rare,2sps,survival,5,,,,,,0.06796100929550579,0.5199221221545601,,,,,,,
linear,naive,continuous,5,,,,,,,,1.1100569627237713,0.8381087691571637,0.10991688342470583,,,,
linear,2sri,continuous,5,,,,,,0.0856272578159338,,1.1100261380583705,0.8379842010748019,0.10998679710334971,,,,
linear,2sps,continuous,5,,,,,,0.0856272578159338,,1.2422294087755907,0.8893639342193855,0.004826378902224169,,,,
linear,fed2sls,continuous,2,,,,,,,,,,,0.3169511313104073,0.014457470143324,0.0144997413904623,28.660417994222144
linear_shared,fed2sls,continuous,2,,,,,,,,,,,0.306182401828231,0.0141814579217582,0.0141658941350806,301.1349871122497
quadratic,naive,continuous,5,,,,,,,,1.1103209472417335,0.8382117334142909,0.1387025159172536,,,,
quadratic,2sri,continuous,5,,,,,,0.0856272578159338,,1.1106427003589945,0.8382720085343917,0.13842092926935615,,,,
quadratic,2sps,continuous,5,,,,,,0.0856272578159338,,1.2845903683395428,0.9010765273149285,0.004733523325086124,,,,
quadratic,fed2sls,continuous,2,,,,,,,,,,,0.3182018130459199,0.0147623513268149,0.0149376630272224,28.660417994222144
threshold,naive,continuous,5,,,,,,,,1.1103327382832007,0.838320990482671,0.07063875767040394,,,,
threshold,2sri,continuous,5,,,,,,0.0856272578159338,,1.1104264497843335,0.838364482638564,0.0706036091390678,,,,
threshold,2sps,continuous,5,,,,,,0.0856272578159338,,1.1931505636529272,0.8710705509232002,0.0018816056993060997,,,,
threshold,fed2sls,continuous,2,,,,,,,,,,,0.2241426955242078,0.0145014291314458,0.0145431827973415,28.660417994222144
ushape,naive,continuous,5,,,,,,,,1.1112608737287373,0.8385850624776429,0.039187696292968026,,,,
ushape,2sri,continuous,5,,,,,,0.0856272578159338,,1.1110477856282857,0.8383832557803208,0.03938058084275945,,,,
ushape,2sps,continuous,5,,,,,,0.0856272578159338,,1.1588974209888163,0.8564498327735239,-0.0016656244711300819,,,,
ushape,fed2sls,continuous,2,,,,,,,,,,,0.0182018130459199,0.0147623513268149,0.0149376630272224,28.660417994222144
